Year,Age,Industry,Employed
2021,60-64,Manufacturing,11.9
2021,60-64,Construction,8.1
2021,60-64,Wholesale & Retail Trade,17.5
2021,60-64,Transportation & Storage,22.5
2021,60-64,Accommodation & Food Services,6.5
2021,60-64,Information & Communications,2.6
2021,60-64,Financial & Insurance Services,4.4
2021,60-64,Real Estate Services,2.7
2021,60-64,Professional Services,6.9
2021,60-64,Administrative & Support Services,10.4
2021,60-64,Public Administration & Education,6.2
2021,60-64,Health & Social Services,2.2
2021,60-64,"Arts, Entertainment & Recreation",1.2
2021,60-64,"Other Community, Social & Personal Services",5.1
2021,60-64,Others,2.2
2021,65+,Manufacturing,11.4
2021,65+,Construction,9.4
2021,65+,Wholesale & Retail Trade,19.9
2021,65+,Transportation & Storage,18.5
2021,65+,Accommodation & Food Services,10.5
2021,65+,Information & Communications,1.2
2021,65+,Financial & Insurance Services,5.4
2021,65+,Real Estate Services,3.7
2021,65+,Professional Services,6.2
2021,65+,Administrative & Support Services,17.5
2021,65+,Public Administration & Education,4.2
2021,65+,Health & Social Services,3.7
2021,65+,"Arts, Entertainment & Recreation",1.0
2021,65+,"Other Community, Social & Personal Services",5.9
2021,65+,Others,1.9
2020,15-19,Manufacturing,0.6
2020,15-19,Construction,0.1
2020,15-19,Wholesale & Retail Trade,0.6
2020,15-19,Transportation & Storage,0.7
2020,15-19,Accommodation & Food Services,1.9
2020,15-19,Information & Communications,0.3
2020,15-19,Financial & Insurance Services,0.2
2020,15-19,Real Estate Services,0.1
2020,15-19,Professional Services,0.5
2020,15-19,Administrative & Support Services,0.3
2020,15-19,Public Administration & Education,12.3
2020,15-19,Health & Social Services,0.2
2020,15-19,"Arts, Entertainment & Recreation",0.2
2020,15-19,"Other Community, Social & Personal Services",0.0
2020,15-19,Others,0.1
2020,20-24,Manufacturing,2.5
2020,20-24,Construction,0.8
2020,20-24,Wholesale & Retail Trade,3.7
2020,20-24,Transportation & Storage,4.9
2020,20-24,Accommodation & Food Services,2.5
2020,20-24,Information & Communications,2.4
2020,20-24,Financial & Insurance Services,3.0
2020,20-24,Real Estate Services,0.1
2020,20-24,Professional Services,1.3
2020,20-24,Administrative & Support Services,2.0
2020,20-24,Public Administration & Education,34.7
2020,20-24,Health & Social Services,1.2
2020,20-24,"Arts, Entertainment & Recreation",0.6
2020,20-24,"Other Community, Social & Personal Services",0.6
2020,20-24,Others,0.2
2020,25-29,Manufacturing,10.6
2020,25-29,Construction,3.6
2020,25-29,Wholesale & Retail Trade,12.6
2020,25-29,Transportation & Storage,10.5
2020,25-29,Accommodation & Food Services,5.0
2020,25-29,Information & Communications,9.5
2020,25-29,Financial & Insurance Services,13.2
2020,25-29,Real Estate Services,1.7
2020,25-29,Professional Services,12.2
2020,25-29,Administrative & Support Services,5.2
2020,25-29,Public Administration & Education,17.6
2020,25-29,Health & Social Services,3.7
2020,25-29,"Arts, Entertainment & Recreation",2.5
2020,25-29,"Other Community, Social & Personal Services",1.9
2020,25-29,Others,1.1
2020,30-34,Manufacturing,10.6
2020,30-34,Construction,6.3
2020,30-34,Wholesale & Retail Trade,15.7
2020,30-34,Transportation & Storage,13.6
2020,30-34,Accommodation & Food Services,4.5
2020,30-34,Information & Communications,9.6
2020,30-34,Financial & Insurance Services,16.1
2020,30-34,Real Estate Services,2.6
2020,30-34,Professional Services,12.9
2020,30-34,Administrative & Support Services,5.9
2020,30-34,Public Administration & Education,17.5
2020,30-34,Health & Social Services,4.8
2020,30-34,"Arts, Entertainment & Recreation",2.8
2020,30-34,"Other Community, Social & Personal Services",1.9
2020,30-34,Others,1.6
2020,35-39,Manufacturing,14.4
2020,35-39,Construction,6.6
2020,35-39,Wholesale & Retail Trade,19.0
2020,35-39,Transportation & Storage,13.2
2020,35-39,Accommodation & Food Services,4.7
2020,35-39,Information & Communications,12.1
2020,35-39,Financial & Insurance Services,14.8
2020,35-39,Real Estate Services,2.2
2020,35-39,Professional Services,13.0
2020,35-39,Administrative & Support Services,5.9
2020,35-39,Public Administration & Education,16.7
2020,35-39,Health & Social Services,4.0
2020,35-39,"Arts, Entertainment & Recreation",2.1
2020,35-39,"Other Community, Social & Personal Services",1.7
2020,35-39,Others,2.0
2020,40-44,Manufacturing,18.7
2020,40-44,Construction,6.9
2020,40-44,Wholesale & Retail Trade,20.0
2020,40-44,Transportation & Storage,15.2
2020,40-44,Accommodation & Food Services,4.0
2020,40-44,Information & Communications,9.7
2020,40-44,Financial & Insurance Services,14.8
2020,40-44,Real Estate Services,3.6
2020,40-44,Professional Services,13.5
2020,40-44,Administrative & Support Services,6.6
2020,40-44,Public Administration & Education,15.5
2020,40-44,Health & Social Services,2.4
2020,40-44,"Arts, Entertainment & Recreation",1.9
2020,40-44,"Other Community, Social & Personal Services",2.4
2020,40-44,Others,1.9
2020,45-49,Manufacturing,19.8
2020,45-49,Construction,8.9
2020,45-49,Wholesale & Retail Trade,22.7
2020,45-49,Transportation & Storage,18.5
2020,45-49,Accommodation & Food Services,5.7
2020,45-49,Information & Communications,10.5
2020,45-49,Financial & Insurance Services,13.8
2020,45-49,Real Estate Services,3.0
2020,45-49,Professional Services,12.1
2020,45-49,Administrative & Support Services,6.5
2020,45-49,Public Administration & Education,13.9
2020,45-49,Health & Social Services,3.4
2020,45-49,"Arts, Entertainment & Recreation",1.9
2020,45-49,"Other Community, Social & Personal Services",3.4
2020,45-49,Others,1.6
2020,50-54,Manufacturing,19.8
2020,50-54,Construction,10.0
2020,50-54,Wholesale & Retail Trade,19.4
2020,50-54,Transportation & Storage,21.2
2020,50-54,Accommodation & Food Services,5.3
2020,50-54,Information & Communications,6.4
2020,50-54,Financial & Insurance Services,10.0
2020,50-54,Real Estate Services,2.4
2020,50-54,Professional Services,10.4
2020,50-54,Administrative & Support Services,7.5
2020,50-54,Public Administration & Education,9.7
2020,50-54,Health & Social Services,3.2
2020,50-54,"Arts, Entertainment & Recreation",1.8
2020,50-54,"Other Community, Social & Personal Services",2.5
2020,50-54,Others,1.9
2020,55-59,Manufacturing,16.4
2020,55-59,Construction,11.6
2020,55-59,Wholesale & Retail Trade,19.8
2020,55-59,Transportation & Storage,23.5
2020,55-59,Accommodation & Food Services,6.8
2020,55-59,Information & Communications,3.3
2020,55-59,Financial & Insurance Services,6.3
2020,55-59,Real Estate Services,3.0
2020,55-59,Professional Services,9.3
2020,55-59,Administrative & Support Services,10.4
2020,55-59,Public Administration & Education,7.9
2020,55-59,Health & Social Services,2.7
2020,55-59,"Arts, Entertainment & Recreation",1.5
2020,55-59,"Other Community, Social & Personal Services",3.8
2020,55-59,Others,2.2
2020,60-64,Manufacturing,11.5
2020,60-64,Construction,7.3
2020,60-64,Wholesale & Retail Trade,16.1
2020,60-64,Transportation & Storage,23.2
2020,60-64,Accommodation & Food Services,6.2
2020,60-64,Information & Communications,1.7
2020,60-64,Financial & Insurance Services,3.9
2020,60-64,Real Estate Services,2.4
2020,60-64,Professional Services,5.4
2020,60-64,Administrative & Support Services,9.6
2020,60-64,Public Administration & Education,5.5
2020,60-64,Health & Social Services,3.0
2020,60-64,"Arts, Entertainment & Recreation",1.0
2020,60-64,"Other Community, Social & Personal Services",3.0
2020,60-64,Others,1.5
2020,65+,Manufacturing,10.2
2020,65+,Construction,7.0
2020,65+,Wholesale & Retail Trade,17.9
2020,65+,Transportation & Storage,17.8
2020,65+,Accommodation & Food Services,9.2
2020,65+,Information & Communications,1.0
2020,65+,Financial & Insurance Services,4.1
2020,65+,Real Estate Services,2.8
2020,65+,Professional Services,5.9
2020,65+,Administrative & Support Services,15.6
2020,65+,Public Administration & Education,4.8
2020,65+,Health & Social Services,3.3
2020,65+,"Arts, Entertainment & Recreation",0.9
2020,65+,"Other Community, Social & Personal Services",4.7
2020,65+,Others,1.4
2019,15-19,Manufacturing,0.2
2019,15-19,Construction,0.3
2019,15-19,Wholesale & Retail Trade,1.2
2019,15-19,Transportation & Storage,0.8
2019,15-19,Accommodation & Food Services,2.0
2019,15-19,Information & Communications,0.3
2019,15-19,Financial & Insurance Services,0.3
2019,15-19,Real Estate Services,0.0
2019,15-19,Professional Services,0.5
2019,15-19,Administrative & Support Services,0.3
2019,15-19,Public Administration & Education,14.4
2019,15-19,Health & Social Services,0.1
2019,15-19,"Arts, Entertainment & Recreation",0.2
2019,15-19,"Other Community, Social & Personal Services",0.1
2019,15-19,Others,0.1
2019,20-24,Manufacturing,2.0
2019,20-24,Construction,0.6
2019,20-24,Wholesale & Retail Trade,5.3
2019,20-24,Transportation & Storage,4.6
2019,20-24,Accommodation & Food Services,4.6
2019,20-24,Information & Communications,2.4
2019,20-24,Financial & Insurance Services,2.8
2019,20-24,Real Estate Services,0.1
2019,20-24,Professional Services,2.7
2019,20-24,Administrative & Support Services,3.1
2019,20-24,Public Administration & Education,36.7
2019,20-24,Health & Social Services,1.5
2019,20-24,"Arts, Entertainment & Recreation",1.4
2019,20-24,"Other Community, Social & Personal Services",0.8
2019,20-24,Others,0.1
2019,25-29,Manufacturing,8.3
2019,25-29,Construction,3.5
2019,25-29,Wholesale & Retail Trade,13.7
2019,25-29,Transportation & Storage,13.1
2019,25-29,Accommodation & Food Services,4.5
2019,25-29,Information & Communications,8.8
2019,25-29,Financial & Insurance Services,14.7
2019,25-29,Real Estate Services,1.6
2019,25-29,Professional Services,11.7
2019,25-29,Administrative & Support Services,5.4
2019,25-29,Public Administration & Education,17.8
2019,25-29,Health & Social Services,5.4
2019,25-29,"Arts, Entertainment & Recreation",1.8
2019,25-29,"Other Community, Social & Personal Services",1.6
2019,25-29,Others,1.5
2019,30-34,Manufacturing,11.2
2019,30-34,Construction,4.4
2019,30-34,Wholesale & Retail Trade,17.7
2019,30-34,Transportation & Storage,12.4
2019,30-34,Accommodation & Food Services,4.1
2019,30-34,Information & Communications,10.7
2019,30-34,Financial & Insurance Services,15.9
2019,30-34,Real Estate Services,2.4
2019,30-34,Professional Services,11.9
2019,30-34,Administrative & Support Services,4.6
2019,30-34,Public Administration & Education,16.8
2019,30-34,Health & Social Services,4.0
2019,30-34,"Arts, Entertainment & Recreation",2.1
2019,30-34,"Other Community, Social & Personal Services",3.5
2019,30-34,Others,1.3
2019,35-39,Manufacturing,15.6
2019,35-39,Construction,6.2
2019,35-39,Wholesale & Retail Trade,19.4
2019,35-39,Transportation & Storage,12.8
2019,35-39,Accommodation & Food Services,3.6
2019,35-39,Information & Communications,10.2
2019,35-39,Financial & Insurance Services,16.2
2019,35-39,Real Estate Services,3.0
2019,35-39,Professional Services,12.9
2019,35-39,Administrative & Support Services,5.2
2019,35-39,Public Administration & Education,15.9
2019,35-39,Health & Social Services,3.7
2019,35-39,"Arts, Entertainment & Recreation",2.3
2019,35-39,"Other Community, Social & Personal Services",2.6
2019,35-39,Others,1.7
2019,40-44,Manufacturing,18.0
2019,40-44,Construction,6.7
2019,40-44,Wholesale & Retail Trade,21.7
2019,40-44,Transportation & Storage,13.6
2019,40-44,Accommodation & Food Services,4.6
2019,40-44,Information & Communications,9.4
2019,40-44,Financial & Insurance Services,16.2
2019,40-44,Real Estate Services,2.4
2019,40-44,Professional Services,12.3
2019,40-44,Administrative & Support Services,5.0
2019,40-44,Public Administration & Education,15.5
2019,40-44,Health & Social Services,2.5
2019,40-44,"Arts, Entertainment & Recreation",2.4
2019,40-44,"Other Community, Social & Personal Services",2.1
2019,40-44,Others,2.2
2019,45-49,Manufacturing,21.3
2019,45-49,Construction,9.6
2019,45-49,Wholesale & Retail Trade,25.9
2019,45-49,Transportation & Storage,18.8
2019,45-49,Accommodation & Food Services,5.0
2019,45-49,Information & Communications,7.9
2019,45-49,Financial & Insurance Services,12.7
2019,45-49,Real Estate Services,2.6
2019,45-49,Professional Services,13.0
2019,45-49,Administrative & Support Services,7.0
2019,45-49,Public Administration & Education,12.8
2019,45-49,Health & Social Services,3.2
2019,45-49,"Arts, Entertainment & Recreation",1.3
2019,45-49,"Other Community, Social & Personal Services",2.6
2019,45-49,Others,1.7
2019,50-54,Manufacturing,21.7
2019,50-54,Construction,11.8
2019,50-54,Wholesale & Retail Trade,24.4
2019,50-54,Transportation & Storage,21.0
2019,50-54,Accommodation & Food Services,5.9
2019,50-54,Information & Communications,5.5
2019,50-54,Financial & Insurance Services,8.9
2019,50-54,Real Estate Services,3.1
2019,50-54,Professional Services,9.8
2019,50-54,Administrative & Support Services,6.7
2019,50-54,Public Administration & Education,9.5
2019,50-54,Health & Social Services,3.1
2019,50-54,"Arts, Entertainment & Recreation",1.2
2019,50-54,"Other Community, Social & Personal Services",3.4
2019,50-54,Others,1.5
2019,55-59,Manufacturing,16.6
2019,55-59,Construction,12.9
2019,55-59,Wholesale & Retail Trade,19.3
2019,55-59,Transportation & Storage,22.1
2019,55-59,Accommodation & Food Services,8.3
2019,55-59,Information & Communications,2.1
2019,55-59,Financial & Insurance Services,7.4
2019,55-59,Real Estate Services,3.9
2019,55-59,Professional Services,8.6
2019,55-59,Administrative & Support Services,8.5
2019,55-59,Public Administration & Education,9.0
2019,55-59,Health & Social Services,2.5
2019,55-59,"Arts, Entertainment & Recreation",1.1
2019,55-59,"Other Community, Social & Personal Services",4.3
2019,55-59,Others,2.5
2019,60-64,Manufacturing,13.2
2019,60-64,Construction,8.9
2019,60-64,Wholesale & Retail Trade,16.1
2019,60-64,Transportation & Storage,19.8
2019,60-64,Accommodation & Food Services,6.9
2019,60-64,Information & Communications,1.8
2019,60-64,Financial & Insurance Services,5.2
2019,60-64,Real Estate Services,2.2
2019,60-64,Professional Services,4.9
2019,60-64,Administrative & Support Services,8.6
2019,60-64,Public Administration & Education,6.4
2019,60-64,Health & Social Services,1.8
2019,60-64,"Arts, Entertainment & Recreation",1.2
2019,60-64,"Other Community, Social & Personal Services",2.7
2019,60-64,Others,1.4
2019,65+,Manufacturing,8.7
2019,65+,Construction,6.3
2019,65+,Wholesale & Retail Trade,17.2
2019,65+,Transportation & Storage,17.0
2019,65+,Accommodation & Food Services,8.6
2019,65+,Information & Communications,1.1
2019,65+,Financial & Insurance Services,3.6
2019,65+,Real Estate Services,2.7
2019,65+,Professional Services,5.4
2019,65+,Administrative & Support Services,12.5
2019,65+,Public Administration & Education,5.5
2019,65+,Health & Social Services,3.1
2019,65+,"Arts, Entertainment & Recreation",0.7
2019,65+,"Other Community, Social & Personal Services",4.0
2019,65+,Others,1.6
2018,15-19,Manufacturing,0.5
2018,15-19,Construction,0.1
2018,15-19,Wholesale & Retail Trade,1.3
2018,15-19,Transportation & Storage,0.9
2018,15-19,Accommodation & Food Services,2.7
2018,15-19,Information & Communications,0.4
2018,15-19,Financial & Insurance Services,0.3
2018,15-19,Real Estate Services,0.1
2018,15-19,Professional Services,0.3
2018,15-19,Administrative & Support Services,0.3
2018,15-19,Public Administration & Education,15.5
2018,15-19,Health & Social Services,0.1
2018,15-19,"Arts, Entertainment & Recreation",0.7
2018,15-19,"Other Community, Social & Personal Services",0.0
2018,15-19,Others,0.1
2018,20-24,Manufacturing,3.0
2018,20-24,Construction,1.0
2018,20-24,Wholesale & Retail Trade,4.9
2018,20-24,Transportation & Storage,3.8
2018,20-24,Accommodation & Food Services,4.4
2018,20-24,Information & Communications,1.8
2018,20-24,Financial & Insurance Services,3.6
2018,20-24,Real Estate Services,0.5
2018,20-24,Professional Services,3.1
2018,20-24,Administrative & Support Services,2.3
2018,20-24,Public Administration & Education,39.2
2018,20-24,Health & Social Services,0.8
2018,20-24,"Arts, Entertainment & Recreation",1.3
2018,20-24,"Other Community, Social & Personal Services",0.6
2018,20-24,Others,0.4
2018,25-29,Manufacturing,9.2
2018,25-29,Construction,3.5
2018,25-29,Wholesale & Retail Trade,13.4
2018,25-29,Transportation & Storage,10.6
2018,25-29,Accommodation & Food Services,4.9
2018,25-29,Information & Communications,7.7
2018,25-29,Financial & Insurance Services,14.2
