Year,Age,Occupation,Employed
2020,65+,Associate Professionals & Technicians,16.0
2020,65+,Clerical Support Workers,16.6
2020,65+,Service & Sales Workers,31.6
2020,65+,Craftsmen & Related Trade Workers,9.6
2020,65+,Plant & Machine Operators & Assemblers,21.9
2020,65+,"Cleaners, Labourers & Related Workers",48.5
2020,65+,Others,1.1
2019,15-19,Managers & Administrators (Including Working Proprietors),0.0
2019,15-19,Professionals,0.3
2019,15-19,Associate Professionals & Technicians,1.6
2019,15-19,Clerical Support Workers,5.3
2019,15-19,Service & Sales Workers,8.7
2019,15-19,Craftsmen & Related Trade Workers,0.1
2019,15-19,Plant & Machine Operators & Assemblers,0.7
2019,15-19,"Cleaners, Labourers & Related Workers",1.9
2019,15-19,Others,14.1
2019,20-24,Managers & Administrators (Including Working Proprietors),0.9
2019,20-24,Professionals,15.6
2019,20-24,Associate Professionals & Technicians,28.4
2019,20-24,Clerical Support Workers,21.9
2019,20-24,Service & Sales Workers,21.2
2019,20-24,Craftsmen & Related Trade Workers,2.1
2019,20-24,Plant & Machine Operators & Assemblers,3.1
2019,20-24,"Cleaners, Labourers & Related Workers",3.9
2019,20-24,Others,34.2
2019,25-29,Managers & Administrators (Including Working Proprietors),8.7
2019,25-29,Professionals,77.4
2019,25-29,Associate Professionals & Technicians,76.1
2019,25-29,Clerical Support Workers,21.4
2019,25-29,Service & Sales Workers,20.6
2019,25-29,Craftsmen & Related Trade Workers,4.1
2019,25-29,Plant & Machine Operators & Assemblers,6.9
2019,25-29,"Cleaners, Labourers & Related Workers",4.3
2019,25-29,Others,5.2
2019,30-34,Managers & Administrators (Including Working Proprietors),32.0
2019,30-34,Professionals,82.0
2019,30-34,Associate Professionals & Technicians,72.8
2019,30-34,Clerical Support Workers,21.6
2019,30-34,Service & Sales Workers,20.7
2019,30-34,Craftsmen & Related Trade Workers,3.8
2019,30-34,Plant & Machine Operators & Assemblers,6.7
2019,30-34,"Cleaners, Labourers & Related Workers",3.8
2019,30-34,Others,2.6
2019,35-39,Managers & Administrators (Including Working Proprietors),57.0
2019,35-39,Professionals,78.5
2019,35-39,Associate Professionals & Technicians,62.6
2019,35-39,Clerical Support Workers,21.4
2019,35-39,Service & Sales Workers,21.0
2019,35-39,Craftsmen & Related Trade Workers,4.0
2019,35-39,Plant & Machine Operators & Assemblers,7.9
2019,35-39,"Cleaners, Labourers & Related Workers",5.2
2019,35-39,Others,2.1
2019,40-44,Managers & Administrators (Including Working Proprietors),65.5
2019,40-44,Professionals,68.5
2019,40-44,Associate Professionals & Technicians,57.4
2019,40-44,Clerical Support Workers,23.8
2019,40-44,Service & Sales Workers,24.1
2019,40-44,Craftsmen & Related Trade Workers,4.4
2019,40-44,Plant & Machine Operators & Assemblers,10.4
2019,40-44,"Cleaners, Labourers & Related Workers",6.0
2019,40-44,Others,1.8
2019,45-49,Managers & Administrators (Including Working Proprietors),69.6
2019,45-49,Professionals,55.4
2019,45-49,Associate Professionals & Technicians,55.8
2019,45-49,Clerical Support Workers,28.2
2019,45-49,Service & Sales Workers,27.4
2019,45-49,Craftsmen & Related Trade Workers,7.4
2019,45-49,Plant & Machine Operators & Assemblers,18.0
2019,45-49,"Cleaners, Labourers & Related Workers",10.7
2019,45-49,Others,1.3
2019,50-54,Managers & Administrators (Including Working Proprietors),51.6
2019,50-54,Professionals,40.3
2019,50-54,Associate Professionals & Technicians,42.8
2019,50-54,Clerical Support Workers,29.6
2019,50-54,Service & Sales Workers,31.7
2019,50-54,Craftsmen & Related Trade Workers,10.9
2019,50-54,Plant & Machine Operators & Assemblers,22.4
2019,50-54,"Cleaners, Labourers & Related Workers",17.0
2019,50-54,Others,0.8
2019,55-59,Managers & Administrators (Including Working Proprietors),38.0
2019,55-59,Professionals,26.7
2019,55-59,Associate Professionals & Technicians,34.4
2019,55-59,Clerical Support Workers,27.6
2019,55-59,Service & Sales Workers,30.9
2019,55-59,Craftsmen & Related Trade Workers,12.9
2019,55-59,Plant & Machine Operators & Assemblers,28.6
2019,55-59,"Cleaners, Labourers & Related Workers",27.3
2019,55-59,Others,1.3
2019,60-64,Managers & Administrators (Including Working Proprietors),24.0
2019,60-64,Professionals,13.5
2019,60-64,Associate Professionals & Technicians,20.4
2019,60-64,Clerical Support Workers,20.6
2019,60-64,Service & Sales Workers,26.0
2019,60-64,Craftsmen & Related Trade Workers,9.6
2019,60-64,Plant & Machine Operators & Assemblers,25.2
2019,60-64,"Cleaners, Labourers & Related Workers",26.3
2019,60-64,Others,0.4
2019,65+,Managers & Administrators (Including Working Proprietors),17.6
2019,65+,Professionals,11.3
2019,65+,Associate Professionals & Technicians,15.6
2019,65+,Clerical Support Workers,15.9
2019,65+,Service & Sales Workers,25.4
2019,65+,Craftsmen & Related Trade Workers,8.6
2019,65+,Plant & Machine Operators & Assemblers,21.4
2019,65+,"Cleaners, Labourers & Related Workers",43.0
2019,65+,Others,0.9
2018,15-19,Managers & Administrators (Including Working Proprietors),0.0
2018,15-19,Professionals,0.3
2018,15-19,Associate Professionals & Technicians,2.0
2018,15-19,Clerical Support Workers,5.9
2018,15-19,Service & Sales Workers,9.4
2018,15-19,Craftsmen & Related Trade Workers,0.4
2018,15-19,Plant & Machine Operators & Assemblers,0.4
2018,15-19,"Cleaners, Labourers & Related Workers",1.5
2018,15-19,Others,15.3
2018,20-24,Managers & Administrators (Including Working Proprietors),0.7
2018,20-24,Professionals,14.1
2018,20-24,Associate Professionals & Technicians,28.6
2018,20-24,Clerical Support Workers,26.6
2018,20-24,Service & Sales Workers,21.1
2018,20-24,Craftsmen & Related Trade Workers,1.8
2018,20-24,Plant & Machine Operators & Assemblers,2.8
2018,20-24,"Cleaners, Labourers & Related Workers",4.2
2018,20-24,Others,36.0
2018,25-29,Managers & Administrators (Including Working Proprietors),9.2
2018,25-29,Professionals,69.2
2018,25-29,Associate Professionals & Technicians,76.3
2018,25-29,Clerical Support Workers,25.7
2018,25-29,Service & Sales Workers,23.8
2018,25-29,Craftsmen & Related Trade Workers,4.0
2018,25-29,Plant & Machine Operators & Assemblers,5.9
2018,25-29,"Cleaners, Labourers & Related Workers",4.2
2018,25-29,Others,5.3
2018,30-34,Managers & Administrators (Including Working Proprietors),29.6
2018,30-34,Professionals,80.0
2018,30-34,Associate Professionals & Technicians,69.2
2018,30-34,Clerical Support Workers,19.8
2018,30-34,Service & Sales Workers,19.6
2018,30-34,Craftsmen & Related Trade Workers,3.7
2018,30-34,Plant & Machine Operators & Assemblers,5.8
2018,30-34,"Cleaners, Labourers & Related Workers",3.5
2018,30-34,Others,2.7
2018,35-39,Managers & Administrators (Including Working Proprietors),52.4
2018,35-39,Professionals,78.2
2018,35-39,Associate Professionals & Technicians,65.0
2018,35-39,Clerical Support Workers,23.6
2018,35-39,Service & Sales Workers,22.0
2018,35-39,Craftsmen & Related Trade Workers,4.8
2018,35-39,Plant & Machine Operators & Assemblers,8.3
2018,35-39,"Cleaners, Labourers & Related Workers",5.7
2018,35-39,Others,3.2
2018,40-44,Managers & Administrators (Including Working Proprietors),66.8
2018,40-44,Professionals,69.4
2018,40-44,Associate Professionals & Technicians,59.6
2018,40-44,Clerical Support Workers,25.5
2018,40-44,Service & Sales Workers,23.0
2018,40-44,Craftsmen & Related Trade Workers,5.5
2018,40-44,Plant & Machine Operators & Assemblers,11.6
2018,40-44,"Cleaners, Labourers & Related Workers",8.1
2018,40-44,Others,1.5
2018,45-49,Managers & Administrators (Including Working Proprietors),63.4
2018,45-49,Professionals,52.5
2018,45-49,Associate Professionals & Technicians,52.7
2018,45-49,Clerical Support Workers,26.7
2018,45-49,Service & Sales Workers,28.3
2018,45-49,Craftsmen & Related Trade Workers,7.9
2018,45-49,Plant & Machine Operators & Assemblers,16.5
2018,45-49,"Cleaners, Labourers & Related Workers",12.2
2018,45-49,Others,1.6
2018,50-54,Managers & Administrators (Including Working Proprietors),49.3
2018,50-54,Professionals,35.5
2018,50-54,Associate Professionals & Technicians,43.4
2018,50-54,Clerical Support Workers,30.9
2018,50-54,Service & Sales Workers,34.7
2018,50-54,Craftsmen & Related Trade Workers,11.9
2018,50-54,Plant & Machine Operators & Assemblers,23.8
2018,50-54,"Cleaners, Labourers & Related Workers",20.0
2018,50-54,Others,1.5
2018,55-59,Managers & Administrators (Including Working Proprietors),34.3
2018,55-59,Professionals,26.0
2018,55-59,Associate Professionals & Technicians,34.3
2018,55-59,Clerical Support Workers,25.3
2018,55-59,Service & Sales Workers,29.9
2018,55-59,Craftsmen & Related Trade Workers,12.0
2018,55-59,Plant & Machine Operators & Assemblers,28.0
2018,55-59,"Cleaners, Labourers & Related Workers",26.4
2018,55-59,Others,1.1
2018,60-64,Managers & Administrators (Including Working Proprietors),21.1
2018,60-64,Professionals,14.2
2018,60-64,Associate Professionals & Technicians,22.3
2018,60-64,Clerical Support Workers,17.6
2018,60-64,Service & Sales Workers,25.2
2018,60-64,Craftsmen & Related Trade Workers,10.0
2018,60-64,Plant & Machine Operators & Assemblers,26.5
2018,60-64,"Cleaners, Labourers & Related Workers",28.3
2018,60-64,Others,0.5
2018,65+,Managers & Administrators (Including Working Proprietors),14.9
2018,65+,Professionals,9.9
2018,65+,Associate Professionals & Technicians,11.5
2018,65+,Clerical Support Workers,13.3
2018,65+,Service & Sales Workers,25.7
2018,65+,Craftsmen & Related Trade Workers,8.0
2018,65+,Plant & Machine Operators & Assemblers,18.3
2018,65+,"Cleaners, Labourers & Related Workers",42.4
2018,65+,Others,1.0
2017,15-19,Managers & Administrators (Including Working Proprietors),0.0
2017,15-19,Professionals,0.2
2017,15-19,Associate Professionals & Technicians,1.2
2017,15-19,Clerical Support Workers,4.8
2017,15-19,Service & Sales Workers,8.5
2017,15-19,Craftsmen & Related Trade Workers,0.3
2017,15-19,Plant & Machine Operators & Assemblers,0.2
2017,15-19,"Cleaners, Labourers & Related Workers",1.7
2017,15-19,Others,15.8
2017,20-24,Managers & Administrators (Including Working Proprietors),1.0
2017,20-24,Professionals,12.6
2017,20-24,Associate Professionals & Technicians,27.9
2017,20-24,Clerical Support Workers,24.8
2017,20-24,Service & Sales Workers,21.5
2017,20-24,Craftsmen & Related Trade Workers,2.5
2017,20-24,Plant & Machine Operators & Assemblers,3.7
2017,20-24,"Cleaners, Labourers & Related Workers",3.8
2017,20-24,Others,37.4
2017,25-29,Managers & Administrators (Including Working Proprietors),8.6
2017,25-29,Professionals,72.3
2017,25-29,Associate Professionals & Technicians,76.0
2017,25-29,Clerical Support Workers,22.7
2017,25-29,Service & Sales Workers,20.1
2017,25-29,Craftsmen & Related Trade Workers,3.7
2017,25-29,Plant & Machine Operators & Assemblers,5.5
2017,25-29,"Cleaners, Labourers & Related Workers",4.1
2017,25-29,Others,4.2
2017,30-34,Managers & Administrators (Including Working Proprietors),30.8
2017,30-34,Professionals,84.1
2017,30-34,Associate Professionals & Technicians,63.6
2017,30-34,Clerical Support Workers,23.1
2017,30-34,Service & Sales Workers,18.8
2017,30-34,Craftsmen & Related Trade Workers,3.4
2017,30-34,Plant & Machine Operators & Assemblers,5.7
2017,30-34,"Cleaners, Labourers & Related Workers",4.4
2017,30-34,Others,2.1
2017,35-39,Managers & Administrators (Including Working Proprietors),52.2
2017,35-39,Professionals,80.2
2017,35-39,Associate Professionals & Technicians,64.2
2017,35-39,Clerical Support Workers,24.7
2017,35-39,Service & Sales Workers,22.7
2017,35-39,Craftsmen & Related Trade Workers,4.9
2017,35-39,Plant & Machine Operators & Assemblers,8.2
2017,35-39,"Cleaners, Labourers & Related Workers",6.3
2017,35-39,Others,2.6
2017,40-44,Managers & Administrators (Including Working Proprietors),68.8
2017,40-44,Professionals,67.8
2017,40-44,Associate Professionals & Technicians,53.6
2017,40-44,Clerical Support Workers,28.5
2017,40-44,Service & Sales Workers,22.9
2017,40-44,Craftsmen & Related Trade Workers,7.7
2017,40-44,Plant & Machine Operators & Assemblers,12.1
2017,40-44,"Cleaners, Labourers & Related Workers",7.9
2017,40-44,Others,2.2
2017,45-49,Managers & Administrators (Including Working Proprietors),64.7
2017,45-49,Professionals,50.0
2017,45-49,Associate Professionals & Technicians,52.2
2017,45-49,Clerical Support Workers,30.2
2017,45-49,Service & Sales Workers,26.8
2017,45-49,Craftsmen & Related Trade Workers,9.0
2017,45-49,Plant & Machine Operators & Assemblers,18.1
2017,45-49,"Cleaners, Labourers & Related Workers",12.1
2017,45-49,Others,1.0
2017,50-54,Managers & Administrators (Including Working Proprietors),48.6
2017,50-54,Professionals,32.5
2017,50-54,Associate Professionals & Technicians,40.0
2017,50-54,Clerical Support Workers,30.6
2017,50-54,Service & Sales Workers,30.1
2017,50-54,Craftsmen & Related Trade Workers,13.6
2017,50-54,Plant & Machine Operators & Assemblers,26.4
2017,50-54,"Cleaners, Labourers & Related Workers",21.7
2017,50-54,Others,0.9
2017,55-59,Managers & Administrators (Including Working Proprietors),36.0
2017,55-59,Professionals,19.5
2017,55-59,Associate Professionals & Technicians,29.8
2017,55-59,Clerical Support Workers,26.5
2017,55-59,Service & Sales Workers,26.7
2017,55-59,Craftsmen & Related Trade Workers,12.9
2017,55-59,Plant & Machine Operators & Assemblers,28.5
2017,55-59,"Cleaners, Labourers & Related Workers",24.4
2017,55-59,Others,1.1
2017,60-64,Managers & Administrators (Including Working Proprietors),22.2
2017,60-64,Professionals,10.9
2017,60-64,Associate Professionals & Technicians,18.2
2017,60-64,Clerical Support Workers,19.3
2017,60-64,Service & Sales Workers,25.4
2017,60-64,Craftsmen & Related Trade Workers,10.8
2017,60-64,Plant & Machine Operators & Assemblers,25.4
2017,60-64,"Cleaners, Labourers & Related Workers",28.4
2017,60-64,Others,0.7
2017,65+,Managers & Administrators (Including Working Proprietors),16.0
2017,65+,Professionals,7.6
2017,65+,Associate Professionals & Technicians,9.4
2017,65+,Clerical Support Workers,12.8
2017,65+,Service & Sales Workers,24.4
2017,65+,Craftsmen & Related Trade Workers,7.1
2017,65+,Plant & Machine Operators & Assemblers,17.8
2017,65+,"Cleaners, Labourers & Related Workers",45.6
2017,65+,Others,0.9
2016,15-19,Managers & Administrators (Including Working Proprietors),0.0
2016,15-19,Professionals,0.3
2016,15-19,Associate Professionals & Technicians,2.1
2016,15-19,Clerical Support Workers,4.1
2016,15-19,Service & Sales Workers,9.9
2016,15-19,Craftsmen & Related Trade Workers,0.3
