Year,Industry,Employed
2019,"Arts, Entertainment & Recreation",1.6
2019,"Other Community, Social & Personal Services",1.6
2019,Others,1.3
2019,"Professionals, Managers, Executives & Technicians",1.4
2019,"Clerical, Sales & Service Workers",2.6
2019,"Production & Transport Operators, Cleaners & Labourers",1.8
2018,"Food, Beverages & Tobacco",2.4
2018,Paper/Rubber/Plastic Products & Printing,1.7
2018,"Petroleum, Chemical & Pharmaceutical Products",1.2
2018,"Fabricated Metal Products, Machinery & Equipment",1.6
2018,"Electronic, Computer & Optical Products",1.4
2018,Transport Equipment,1.4
2018,Other Manufacturing Industries,1.5
2018,Construction,1.3
2018,Wholesale Trade,1.7
2018,Retail Trade,2.6
2018,Land Transport & Supporting Services,1.7
2018,Water Transport & Supporting Services,1.1
2018,Air Transport & Supporting Services,1.4
2018,Other Transportation & Storage Services,2.3
2018,Accommodation,3.7
2018,Food & Beverage Services,3.3
2018,"Telecommunications, Broadcasting & Publishing",2.2
2018,IT & Other Information Services,2.4
2018,Financial Services,1.2
2018,Insurance Services,1.8
2018,Real Estate Services,2.0
2018,"Legal, Accounting & Management Services",1.8
2018,Architectural & Engineering Services,1.6
2018,Other Professional Services,1.7
2018,Security & Investigation,3.3
2018,Cleaning & Landscaping,3.1
2018,Other Administrative & Support Services,3.7
2018,Public Administration & Education,0.9
2018,Health & Social Services,1.5
2018,"Arts, Entertainment & Recreation",1.8
2018,"Other Community, Social & Personal Services",1.6
2018,Others,1.4
2018,"Professionals, Managers, Executives & Technicians",1.5
2018,"Clerical, Sales & Service Workers",2.7
2018,"Production & Transport Operators, Cleaners & Labourers",1.9
2017,"Food, Beverages & Tobacco",2.2
2017,Paper/Rubber/Plastic Products & Printing,1.5
2017,"Petroleum, Chemical & Pharmaceutical Products",1.1
2017,"Fabricated Metal Products, Machinery & Equipment",1.6
2017,"Electronic, Computer & Optical Products",1.7
2017,Transport Equipment,1.3
2017,Other Manufacturing Industries,1.4
2017,Construction,1.3
2017,Wholesale Trade,1.5
2017,Retail Trade,2.6
2017,Land Transport & Supporting Services,1.3
2017,Water Transport & Supporting Services,0.9
2017,Air Transport & Supporting Services,1.3
2017,Other Transportation & Storage Services,1.7
2017,Accommodation,3.2
2017,Food & Beverage Services,3.0
2017,"Telecommunications, Broadcasting & Publishing",2.2
2017,IT & Other Information Services,2.3
2017,Financial Services,1.4
2017,Insurance Services,1.5
2017,Real Estate Services,1.9
2017,"Legal, Accounting & Management Services",1.8
2017,Architectural & Engineering Services,1.4
2017,Other Professional Services,1.4
2017,Security & Investigation,2.7
2017,Cleaning & Landscaping,3.8
2017,Other Administrative & Support Services,2.6
2017,Public Administration & Education,0.8
2017,Health & Social Services,1.6
2017,"Arts, Entertainment & Recreation",1.4
2017,"Other Community, Social & Personal Services",1.8
2017,Others,1.1
2017,"Professionals, Managers, Executives & Technicians",1.4
2017,"Clerical, Sales & Service Workers",2.4
2017,"Production & Transport Operators, Cleaners & Labourers",1.9
2016,"Food, Beverages & Tobacco",2.2
2016,Paper/Rubber/Plastic Products & Printing,1.8
2016,"Petroleum, Chemical & Pharmaceutical Products",1.1
2016,"Fabricated Metal Products, Machinery & Equipment",1.3
2016,"Electronic, Computer & Optical Products",1.4
2016,Transport Equipment,1.2
2016,Other Manufacturing Industries,1.3
2016,Construction,1.3
2016,Wholesale Trade,1.3
2016,Retail Trade,2.2
2016,Land Transport & Supporting Services,1.3
2016,Water Transport & Supporting Services,1.0
2016,Air Transport & Supporting Services,1.0
2016,Other Transportation & Storage Services,2.0
2016,Accommodation,3.1
2016,Food & Beverage Services,2.9
2016,"Telecommunications, Broadcasting & Publishing",1.8
2016,IT & Other Information Services,2.6
2016,Financial Services,1.4
2016,Insurance Services,1.8
2016,Real Estate Services,1.8
2016,"Legal, Accounting & Management Services",1.7
2016,Architectural & Engineering Services,1.4
2016,Other Professional Services,1.6
2016,Security & Investigation,3.4
2016,Cleaning & Landscaping,2.7
2016,Other Administrative & Support Services,2.9
2016,Public Administration & Education,0.7
2016,Health & Social Services,1.2
2016,"Arts, Entertainment & Recreation",1.2
2016,"Other Community, Social & Personal Services",1.6
2016,Others,1.2
2016,"Professionals, Managers, Executives & Technicians",1.3
2016,"Clerical, Sales & Service Workers",2.3
2016,"Production & Transport Operators, Cleaners & Labourers",1.8
2015,"Food, Beverages & Tobacco",2.3
2015,Paper/Rubber/Plastic Products & Printing,1.9
2015,"Petroleum, Chemical & Pharmaceutical Products",1.3
2015,"Fabricated Metal Products, Machinery & Equipment",1.4
2015,"Electronic, Computer & Optical Products",1.8
2015,Transport Equipment,1.2
2015,Other Manufacturing Industries,1.6
2015,Construction,1.4
2015,Wholesale Trade,1.3
2015,Retail Trade,2.0
2015,Land Transport & Supporting Services,1.3
2015,Water Transport & Supporting Services,1.3
2015,Air Transport & Supporting Services,1.1
2015,Other Transportation & Storage Services,2.0
2015,Accommodation,2.5
2015,Food & Beverage Services,3.3
2015,"Telecommunications, Broadcasting & Publishing",1.5
2015,IT & Other Information Services,2.3
2015,Financial Services,1.8
2015,Insurance Services,1.7
2015,Real Estate Services,2.3
2015,"Legal, Accounting & Management Services",1.9
2015,Architectural & Engineering Services,1.6
2015,Other Professional Services,1.8
2015,Security & Investigation,3.3
2015,Cleaning & Landscaping,3.2
2015,Other Administrative & Support Services,2.2
2015,Public Administration & Education,0.9
2015,Health & Social Services,1.3
2015,"Arts, Entertainment & Recreation",1.6
2015,"Other Community, Social & Personal Services",1.5
2015,Others,1.0
2015,"Professionals, Managers, Executives & Technicians",1.4
2015,"Clerical, Sales & Service Workers",2.4
2015,"Production & Transport Operators, Cleaners & Labourers",1.8
2014,"Food, Beverages & Tobacco",2.9
2014,Paper/Rubber/Plastic Products & Printing,2.0
2014,"Petroleum, Chemical & Pharmaceutical Products",1.2
2014,"Fabricated Metal Products, Machinery & Equipment",1.6
2014,"Electronic, Computer & Optical Products",1.7
2014,Transport Equipment,1.2
2014,Other Manufacturing Industries,1.7
2014,Construction,1.4
2014,Wholesale Trade,1.7
2014,Retail Trade,2.8
2014,Land Transport & Supporting Services,1.3
2014,Water Transport & Supporting Services,1.2
2014,Air Transport & Supporting Services,1.0
2014,Other Transportation & Storage Services,2.2
2014,Accommodation,3.3
2014,Food & Beverage Services,3.4
2014,"Telecommunications, Broadcasting & Publishing",1.3
2014,IT & Other Information Services,2.2
2014,Financial Services,1.3
2014,Insurance Services,1.6
2014,Real Estate Services,2.5
2014,"Legal, Accounting & Management Services",1.8
2014,Architectural & Engineering Services,1.5
2014,Other Professional Services,1.8
2014,Security & Investigation,3.8
2014,Cleaning & Landscaping,3.4
2014,Other Administrative & Support Services,2.8
2014,Public Administration & Education,0.8
2014,Health & Social Services,1.2
2014,"Arts, Entertainment & Recreation",1.7
2014,"Other Community, Social & Personal Services",1.9
2014,Others,1.1
2014,"Professionals, Managers, Executives & Technicians",1.3
2014,"Clerical, Sales & Service Workers",2.7
2014,"Production & Transport Operators, Cleaners & Labourers",2.0
2013,"Food, Beverages & Tobacco",2.8
2013,Paper/Rubber/Plastic Products & Printing,1.8
2013,"Petroleum, Chemical & Pharmaceutical Products",0.8
2013,"Fabricated Metal Products, Machinery & Equipment",1.6
2013,"Electronic, Computer & Optical Products",1.3
2013,Transport Equipment,1.0
2013,Other Manufacturing Industries,1.5
2013,Construction,1.3
2013,Wholesale Trade,1.4
2013,Retail Trade,3.0
2013,Land Transport & Supporting Services,1.0
2013,Water Transport & Supporting Services,0.9
2013,Air Transport & Supporting Services,1.1
2013,Other Transportation & Storage Services,1.8
2013,Accommodation,3.1
2013,Food & Beverage Services,3.6
2013,"Telecommunications, Broadcasting & Publishing",1.3
2013,IT & Other Information Services,2.0
2013,Financial Services,0.8
2013,Insurance Services,1.1
2013,Real Estate Services,2.0
2013,"Legal, Accounting & Management Services",1.7
2013,Architectural & Engineering Services,1.5
2013,Other Professional Services,1.7
2013,Security & Investigation,3.7
2013,Cleaning & Landscaping,3.2
2013,Other Administrative & Support Services,2.4
2013,Public Administration & Education,0.9
2013,Health & Social Services,1.3
2013,"Arts, Entertainment & Recreation",1.6
2013,"Other Community, Social & Personal Services",1.5
2013,Others,1.0
2013,"Professionals, Managers, Executives & Technicians",1.1
2013,"Clerical, Sales & Service Workers",2.6
2013,"Production & Transport Operators, Cleaners & Labourers",2.0
2012,"Food, Beverages & Tobacco",2.5
2012,Paper/Rubber/Plastic Products & Printing,2.3
2012,"Petroleum, Chemical & Pharmaceutical Products",0.7
2012,"Fabricated Metal Products, Machinery & Equipment",1.4
2012,"Electronic, Computer & Optical Products",1.0
2012,Transport Equipment,1.4
2012,Other Manufacturing Industries,1.4
2012,Construction,1.6
2012,Wholesale Trade,1.2
2012,Retail Trade,2.3
2012,Land Transport & Supporting Services,0.9
2012,Water Transport & Supporting Services,0.8
2012,Air Transport & Supporting Services,0.8
2012,Other Transportation & Storage Services,1.5
2012,Accommodation,2.1
2012,Food & Beverage Services,3.3
2012,"Telecommunications, Broadcasting & Publishing",1.2
2012,IT & Other Information Services,2.0
2012,Financial Services,0.8
2012,Insurance Services,1.1
2012,Real Estate Services,1.7
2012,"Legal, Accounting & Management Services",1.3
2012,Architectural & Engineering Services,1.4
2012,Other Professional Services,1.2
2012,Security & Investigation,3.4
2012,Cleaning & Landscaping,3.0
2012,Other Administrative & Support Services,2.1
2012,Public Administration & Education,0.5
2012,Health & Social Services,1.0
2012,"Arts, Entertainment & Recreation",1.2
2012,"Other Community, Social & Personal Services",1.4
2012,Others,0.8
2012,"Professionals, Managers, Executives & Technicians",1.0
2012,"Clerical, Sales & Service Workers",2.2
2012,"Production & Transport Operators, Cleaners & Labourers",2.0
2011,"Food, Beverages & Tobacco",2.3
2011,Paper/Rubber/Plastic Products & Printing,1.6
2011,"Petroleum, Chemical & Pharmaceutical Products",0.8
2011,"Fabricated Metal Products, Machinery & Equipment",1.2
2011,"Electronic, Computer & Optical Products",1.3
2011,Transport Equipment,1.0
2011,Other Manufacturing Industries,1.3
2011,Construction,1.6
2011,Wholesale Trade,1.4
2011,Retail Trade,2.6
2011,Land Transport & Supporting Services,1.1
2011,Water Transport & Supporting Services,0.7
2011,Air Transport & Supporting Services,0.7
2011,Other Transportation & Storage Services,1.6
2011,Accommodation,1.9
2011,Food & Beverage Services,4.5
2011,"Telecommunications, Broadcasting & Publishing",0.9
2011,IT & Other Information Services,1.7
2011,Financial Services,0.8
2011,Insurance Services,1.2
2011,Real Estate Services,1.4
2011,"Legal, Accounting & Management Services",1.1
2011,Architectural & Engineering Services,1.3
2011,Other Professional Services,0.8
2011,Security & Investigation,2.8
2011,Cleaning & Landscaping,3.4
2011,Other Administrative & Support Services,2.4
2011,Public Administration & Education,0.6
2011,Health & Social Services,0.9
2011,"Arts, Entertainment & Recreation",1.5
2011,"Other Community, Social & Personal Services",1.7
2011,Others,0.9
2011,"Professionals, Managers, Executives & Technicians",0.9
2011,"Clerical, Sales & Service Workers",2.4
2011,"Production & Transport Operators, Cleaners & Labourers",2.2
2010,"Food, Beverages & Tobacco",2.4
2010,Paper/Rubber/Plastic Products & Printing,1.3
2010,"Petroleum, Chemical & Pharmaceutical Products",0.6
2010,"Fabricated Metal Products, Machinery & Equipment",0.8
2010,"Electronic, Computer & Optical Products",0.8
2010,Transport Equipment,0.5
2010,Other Manufacturing Industries,0.9
2010,Construction,0.7
2010,Wholesale Trade,1.3
2010,Retail Trade,2.1
2010,Land Transport & Supporting Services,1.0
2010,Water Transport & Supporting Services,0.6
2010,Air Transport & Supporting Services,0.6
2010,Other Transportation & Storage Services,1.4
2010,Accommodation,2.2
2010,Food & Beverage Services,3.3
2010,"Telecommunications, Broadcasting & Publishing",1.5
2010,IT & Other Information Services,1.4
2010,Financial Services,0.7
2010,Insurance Services,1.2
2010,Real Estate Services,1.5
2010,"Legal, Accounting & Management Services",1.7
2010,Architectural & Engineering Services,1.0
2010,Other Professional Services,1.0
2010,Security & Investigation,4.0
2010,Cleaning & Landscaping,3.3
2010,Other Administrative & Support Services,2.2
2010,Public Administration & Education,0.5
2010,Health & Social Services,0.8
2010,"Arts, Entertainment & Recreation",1.5
2010,"Other Community, Social & Personal Services",1.5
2010,Others,0.8
2010,"Professionals, Managers, Executives & Technicians",0.9
2010,"Clerical, Sales & Service Workers",2.3
2010,"Production & Transport Operators, Cleaners & Labourers",1.5
2009,"Food, Beverages & Tobacco",1.8
2009,Paper/Rubber/Plastic Products & Printing,1.5
2009,"Petroleum, Chemical & Pharmaceutical Products",0.7
2009,"Fabricated Metal Products, Machinery & Equipment",1.2
2009,"Electronic, Computer & Optical Products",1.1
2009,Transport Equipment,1.3
2009,Other Manufacturing Industries,1.4
2009,Construction,1.8
2009,Wholesale Trade,1.5
2009,Retail Trade,2.3
2009,Land Transport & Supporting Services,0.9
2009,Water Transport & Supporting Services,1.0
2009,Air Transport & Supporting Services,1.1
2009,Other Transportation & Storage Services,1.6
2009,Accommodation,2.3
2009,Food & Beverage Services,3.6
2009,"Telecommunications, Broadcasting & Publishing",1.1
2009,IT & Other Information Services,1.6
2009,Financial Services,0.9
2009,Insurance Services,1.2
2009,Real Estate Services,1.7
2009,"Legal, Accounting & Management Services",1.4
2009,Architectural & Engineering Services,1.4
2009,Other Professional Services,1.4
2009,Security & Investigation,3.5
2009,Cleaning & Landscaping,3.8
2009,Other Administrative & Support Services,2.4
2009,Public Administration & Education,0.7
2009,Health & Social Services,1.3
2009,"Arts, Entertainment & Recreation",1.6
2009,"Other Community, Social & Personal Services",1.9
2009,Others,1.2
2009,"Professionals, Managers, Executives & Technicians",1.0
2009,"Clerical, Sales & Service Workers",2.5
2009,"Production & Transport Operators, Cleaners & Labourers",2.1
2008,"Food, Beverages & Tobacco",1.6
2008,Paper/Rubber/Plastic Products & Printing,1.1
2008,"Petroleum, Chemical & Pharmaceutical Products",0.7
2008,"Fabricated Metal Products, Machinery & Equipment",0.9
2008,"Electronic, Computer & Optical Products",1.0
2008,Transport Equipment,0.8
2008,Other Manufacturing Industries,1.0
2008,Construction,1.4
2008,Wholesale Trade,1.3
2008,Retail Trade,2.1
2008,Land Transport & Supporting Services,0.9
2008,Water Transport & Supporting Services,0.8
2008,Air Transport & Supporting Services,0.9
2008,Other Transportation & Storage Services,1.7
2008,Accommodation,2.0
2008,Food & Beverage Services,3.3
2008,"Telecommunications, Broadcasting & Publishing",1.0
2008,IT & Other Information Services,1.6
2008,Financial Services,0.9
2008,Insurance Services,1.5
2008,Real Estate Services,1.7
2008,"Legal, Accounting & Management Services",1.5
2008,Architectural & Engineering Services,1.4
2008,Other Professional Services,1.3
2008,Security & Investigation,3.7
2008,Cleaning & Landscaping,3.4
2008,Other Administrative & Support Services,2.5
2008,Public Administration & Education,0.4
2008,Health & Social Services,1.1
2008,"Arts, Entertainment & Recreation",1.5
2008,"Other Community, Social & Personal Services",1.4
2008,Others,1.0
2008,"Professionals, Managers, Executives & Technicians",1.0
2008,"Clerical, Sales & Service Workers",2.3
2008,"Production & Transport Operators, Cleaners & Labourers",1.7
2007,"Food, Beverages & Tobacco",2.3
2007,Paper/Rubber/Plastic Products & Printing,1.6
2007,"Petroleum, Chemical & Pharmaceutical Products",0.9
2007,"Fabricated Metal Products, Machinery & Equipment",1.4
2007,"Electronic, Computer & Optical Products",1.4
2007,Transport Equipment,1.3
2007,Other Manufacturing Industries,1.3
2007,Construction,1.8
2007,Wholesale Trade,1.4
2007,Retail Trade,2.4
2007,Land Transport & Supporting Services,1.2
2007,Water Transport & Supporting Services,1.0
2007,Air Transport & Supporting Services,0.9
2007,Other Transportation & Storage Services,2.2
2007,Accommodation,2.6
2007,Food & Beverage Services,3.5
2007,"Telecommunications, Broadcasting & Publishing",1.1
2007,IT & Other Information Services,1.9
2007,Financial Services,1.3
2007,Insurance Services,1.8
2007,Real Estate Services,2.4
2007,"Legal, Accounting & Management Services",1.6
2007,Architectural & Engineering Services,1.7
2007,Other Professional Services,2.0
2007,Security & Investigation,4.0
2007,Cleaning & Landscaping,4.0
2007,Other Administrative & Support Services,2.7
2007,Public Administration & Education,0.8
2007,Health & Social Services,1.2
2007,"Arts, Entertainment & Recreation",1.6
2007,"Other Community, Social & Personal Services",1.7
2007,Others,1.1
2007,"Professionals, Managers, Executives & Technicians",1.3
2007,"Clerical, Sales & Service Workers",2.6
2007,"Production & Transport Operators, Cleaners & Labourers",2.1
2006,"Food, Beverages & Tobacco",3.4
2006,Paper/Rubber/Plastic Products & Printing,1.8
2006,"Petroleum, Chemical & Pharmaceutical Products",0.9
2006,"Fabricated Metal Products, Machinery & Equipment",1.6
2006,"Electronic, Computer & Optical Products",1.8
2006,Transport Equipment,1.4
2006,Other Manufacturing Industries,1.7
2006,Construction,2.0
2006,Wholesale Trade,1.7
2006,Retail Trade,2.8
2006,Land Transport & Supporting Services,1.2
2006,Water Transport & Supporting Services,1.0
2006,Air Transport & Supporting Services,0.9
2006,Other Transportation & Storage Services,2.3
2006,Accommodation,3.0
2006,Food & Beverage Services,4.1
2006,"Telecommunications, Broadcasting & Publishing",1.3
2006,IT & Other Information Services,1.9
2006,Financial Services,1.4
2006,Insurance Services,1.8
2006,Real Estate Services,3.1
2006,"Legal, Accounting & Management Services",1.7
2006,Architectural & Engineering Services,1.9
2006,Other Professional Services,2.0
2006,Security & Investigation,4.1
2006,Cleaning & Landscaping,4.0
2006,Other Administrative & Support Services,3.4
2006,Public Administration & Education,0.8
2006,Health & Social Services,1.2
2006,"Arts, Entertainment & Recreation",2.0
2006,"Other Community, Social & Personal Services",2.1
2006,Others,1.3
2006,"Professionals, Managers, Executives & Technicians",1.4
2006,"Clerical, Sales & Service Workers",3.0
2006,"Production & Transport Operators, Cleaners & Labourers",2.3
2005,"Food, Beverages & Tobacco",3.0
2005,Paper/Rubber/Plastic Products & Printing,1.9
2005,"Petroleum, Chemical & Pharmaceutical Products",0.8
2005,"Fabricated Metal Products, Machinery & Equipment",1.8
2005,"Electronic, Computer & Optical Products",1.8
2005,Transport Equipment,1.3
2005,Other Manufacturing Industries,1.7
2005,Construction,2.0
2005,Wholesale Trade,1.4
2005,Retail Trade,2.4
2005,Land Transport & Supporting Services,1.1
2005,Water Transport & Supporting Services,1.0
2005,Air Transport & Supporting Services,1.1
2005,Other Transportation & Storage Services,2.3
2005,Accommodation,2.5
2005,Food & Beverage Services,3.5
2005,"Telecommunications, Broadcasting & Publishing",1.3
2005,IT & Other Information Services,1.7
2005,Financial Services,1.1
2005,Insurance Services,1.3
2005,Real Estate Services,2.8
2005,"Legal, Accounting & Management Services",1.7
2005,Architectural & Engineering Services,1.7
2005,Other Professional Services,1.8
2005,Security & Investigation,3.5
2005,Cleaning & Landscaping,4.0
2005,Other Administrative & Support Services,2.7
2005,Public Administration & Education,0.8
2005,Health & Social Services,1.3
2005,"Arts, Entertainment & Recreation",1.4
2005,"Other Community, Social & Personal Services",1.9
2005,Others,1.2
2005,"Professionals, Managers, Executives & Technicians",1.3
2005,"Clerical, Sales & Service Workers",2.6
2005,"Production & Transport Operators, Cleaners & Labourers",2.3
2004,"Food, Beverages & Tobacco",2.5
2004,Paper/Rubber/Plastic Products & Printing,1.2
2004,"Petroleum, Chemical & Pharmaceutical Products",0.7
2004,"Fabricated Metal Products, Machinery & Equipment",1.1
2004,"Electronic, Computer & Optical Products",1.1
2004,Transport Equipment,1.2
2004,Other Manufacturing Industries,1.5
2004,Construction,1.7
2004,Wholesale Trade,1.4
2004,Retail Trade,2.3
2004,Land Transport & Supporting Services,1.0
2004,Water Transport & Supporting Services,0.7
2004,Air Transport & Supporting Services,1.0
2004,Other Transportation & Storage Services,1.8
2004,Accommodation,1.8
2004,Food & Beverage Services,3.5
2004,"Telecommunications, Broadcasting & Publishing",0.9
2004,IT & Other Information Services,1.5
2004,Financial Services,1.4
2004,Insurance Services,1.4
2004,Real Estate Services,2.2
2004,"Legal, Accounting & Management Services",1.5
2004,Architectural & Engineering Services,1.8
2004,Other Professional Services,1.7
2004,Security & Investigation,3.1
2004,Cleaning & Landscaping,3.9
2004,Other Administrative & Support Services,2.5
2004,Public Administration & Education,0.5
2004,Health & Social Services,1.0
2004,"Arts, Entertainment & Recreation",1.2
2004,"Other Community, Social & Personal Services",2.5
2004,Others,1.1
2004,"Professionals, Managers, Executives & Technicians",1.1
2004,"Clerical, Sales & Service Workers",2.4
2004,"Production & Transport Operators, Cleaners & Labourers",1.9
2003,"Food, Beverages & Tobacco",2.8
2003,Paper/Rubber/Plastic Products & Printing,1.6
2003,"Petroleum, Chemical & Pharmaceutical Products",1.0
2003,"Fabricated Metal Products, Machinery & Equipment",1.5
2003,"Electronic, Computer & Optical Products",1.6
2003,Transport Equipment,1.2
2003,Other Manufacturing Industries,1.5
2003,Construction,1.7
2003,Wholesale Trade,1.5
2003,Retail Trade,2.8
2003,Land Transport & Supporting Services,1.1
2003,Water Transport & Supporting Services,0.9
2003,Air Transport & Supporting Services,1.0
2003,Other Transportation & Storage Services,1.7
2003,Accommodation,2.4
2003,Food & Beverage Services,3.0
2003,"Telecommunications, Broadcasting & Publishing",1.1
2003,IT & Other Information Services,1.7
2003,Financial Services,1.5
2003,Insurance Services,1.7
2003,Real Estate Services,2.5
2003,"Legal, Accounting & Management Services",1.6
2003,Architectural & Engineering Services,1.6
2003,Other Professional Services,1.8
2003,Security & Investigation,2.5
2003,Cleaning & Landscaping,4.3
2003,Other Administrative & Support Services,2.3
2003,Public Administration & Education,0.8
2003,Health & Social Services,1.2
2003,"Arts, Entertainment & Recreation",1.5
2003,"Other Community, Social & Personal Services",1.8
2003,Others,1.3
2003,"Professionals, Managers, Executives & Technicians",1.3
2003,"Clerical, Sales & Service Workers",2.3
2003,"Production & Transport Operators, Cleaners & Labourers",2.0
2002,"Food, Beverages & Tobacco",3.3
2002,Paper/Rubber/Plastic Products & Printing,2.2
2002,"Petroleum, Chemical & Pharmaceutical Products",0.9
2002,"Fabricated Metal Products, Machinery & Equipment",1.7
2002,"Electronic, Computer & Optical Products",1.8
2002,Transport Equipment,1.5
2002,Other Manufacturing Industries,1.4
2002,Construction,2.0
2002,Wholesale Trade,1.8
2002,Retail Trade,3.3
2002,Land Transport & Supporting Services,1.6
2002,Water Transport & Supporting Services,1.1
2002,Air Transport & Supporting Services,1.0
2002,Other Transportation & Storage Services,2.1
2002,Accommodation,3.1
2002,Food & Beverage Services,3.8
2002,"Telecommunications, Broadcasting & Publishing",1.3
2002,IT & Other Information Services,2.0
2002,Financial Services,1.5
2002,Insurance Services,1.9
2002,Real Estate Services,2.8
2002,"Legal, Accounting & Management Services",1.7
2002,Architectural & Engineering Services,1.7
2002,Other Professional Services,1.9
2002,Security & Investigation,3.2
