Year,Industry,Employed
2013,Wholesale Trade,77.5675
2013,Retail Trade,18.2028
2013,Transportation & Storage,51.9776
2013,Accommodation,43.4222
2013,Food & Beverage Services,10.8299
2013,Information & Communications,57.8396
2013,Finance & Insurance,116.3226
2013,Real Estate,97.3098
2013,Professional Services,47.6243
2013,Administrative & Support Services,34.1081
2013,Other Services Industries,21.8987
2012,Manufacturing,61.7476
2012,Construction,16.4115
2012,Wholesale Trade,74.013
2012,Retail Trade,18.1856
2012,Transportation & Storage,52.211
2012,Accommodation,43.248
2012,Food & Beverage Services,10.5081
2012,Information & Communications,55.6648
2012,Finance & Insurance,101.9454
2012,Real Estate,90.6327
2012,Professional Services,50.213
2012,Administrative & Support Services,32.2707
2012,Other Services Industries,22.1144
2011,Manufacturing,62.5816
2011,Construction,16.2829
2011,Wholesale Trade,71.3296
2011,Retail Trade,18.5123
2011,Transportation & Storage,51.5377
2011,Accommodation,44.5816
2011,Food & Beverage Services,10.0367
2011,Information & Communications,54.3382
2011,Finance & Insurance,99.8711
2011,Real Estate,91.3091
2011,Professional Services,50.4892
2011,Administrative & Support Services,31.8656
2011,Other Services Industries,22.053
2010,Manufacturing,57.2297
2010,Construction,16.0297
2010,Wholesale Trade,66.4146
2010,Retail Trade,17.982
2010,Transportation & Storage,49.7651
2010,Accommodation,40.9042
2010,Food & Beverage Services,9.4596
2010,Information & Communications,54.4334
2010,Finance & Insurance,96.8627
2010,Real Estate,91.1406
2010,Professional Services,51.8792
2010,Administrative & Support Services,27.0739
2010,Other Services Industries,21.5852
2009,Manufacturing,45.3255
2009,Construction,15.5653
2009,Wholesale Trade,58.3596
2009,Retail Trade,18.6564
2009,Transportation & Storage,48.3572
2009,Accommodation,39.3685
2009,Food & Beverage Services,8.9978
2009,Information & Communications,55.4549
2009,Finance & Insurance,90.5868
2009,Real Estate,85.6952
2009,Professional Services,53.3073
2009,Administrative & Support Services,25.3155
2009,Other Services Industries,20.2943
