Year,Industry,Employed
2005,Information & Communications,2.5
2005,Finance & Insurance,-2.6
2005,Real Estate,0.0
2005,Professional Services,0.0
2005,Administrative & Support Services,0.0
2005,Other Services Industries,0.6
2004,Manufacturing,9.4
2004,Construction,0.1
2004,Wholesale Trade,0.0
2004,Retail Trade,0.0
2004,Transportation & Storage,11.4
2004,Accommodation,0.0
2004,Food & Beverage Services,0.0
2004,Information & Communications,7.6
2004,Finance & Insurance,2.6
2004,Real Estate,0.0
2004,Professional Services,0.0
2004,Administrative & Support Services,0.0
2004,Other Services Industries,2.0
2003,Manufacturing,5.6
2003,Construction,2.1
2003,Wholesale Trade,0.0
2003,Retail Trade,0.0
2003,Transportation & Storage,-2.1
2003,Accommodation,0.0
2003,Food & Beverage Services,0.0
2003,Information & Communications,9.8
2003,Finance & Insurance,15.2
2003,Real Estate,0.0
2003,Professional Services,0.0
2003,Administrative & Support Services,0.0
2003,Other Services Industries,-0.5
2002,Manufacturing,11.2
2002,Construction,-3.0
2002,Wholesale Trade,0.0
2002,Retail Trade,0.0
2002,Transportation & Storage,4.2
2002,Accommodation,0.0
2002,Food & Beverage Services,0.0
2002,Information & Communications,9.4
2002,Finance & Insurance,-0.9
2002,Real Estate,0.0
2002,Professional Services,0.0
2002,Administrative & Support Services,0.0
2002,Other Services Industries,1.8
2001,Manufacturing,-13.6
2001,Construction,2.5
2001,Wholesale Trade,0.0
2001,Retail Trade,0.0
2001,Transportation & Storage,-4.4
2001,Accommodation,0.0
2001,Food & Beverage Services,0.0
2001,Information & Communications,5.9
2001,Finance & Insurance,2.3
2001,Real Estate,0.0
2001,Professional Services,0.0
2001,Administrative & Support Services,0.0
2001,Other Services Industries,2.0
2000,Manufacturing,11.3
2000,Construction,-1.5
2000,Wholesale Trade,0.0
2000,Retail Trade,0.0
2000,Transportation & Storage,-1.0
2000,Accommodation,0.0
2000,Food & Beverage Services,0.0
2000,Information & Communications,8.2
2000,Finance & Insurance,-11.3
2000,Real Estate,0.0
2000,Professional Services,0.0
2000,Administrative & Support Services,0.0
2000,Other Services Industries,3.8
1999,Manufacturing,17.2
1999,Construction,-4.2
1999,Wholesale Trade,0.0
1999,Retail Trade,0.0
1999,Transportation & Storage,6.1
1999,Accommodation,0.0
1999,Food & Beverage Services,0.0
1999,Information & Communications,11.2
1999,Finance & Insurance,-1.1
1999,Real Estate,0.0
1999,Professional Services,0.0
1999,Administrative & Support Services,0.0
1999,Other Services Industries,0.4
1998,Manufacturing,1.4
1998,Construction,-5.3
1998,Wholesale Trade,0.0
1998,Retail Trade,0.0
1998,Transportation & Storage,2.3
1998,Accommodation,0.0
1998,Food & Beverage Services,0.0
1998,Information & Communications,6.5
1998,Finance & Insurance,-22.8
1998,Real Estate,0.0
1998,Professional Services,0.0
1998,Administrative & Support Services,0.0
1998,Other Services Industries,-2.4
1997,Manufacturing,5.3
1997,Construction,-6.3
1997,Wholesale Trade,0.0
1997,Retail Trade,0.0
1997,Transportation & Storage,2.0
1997,Accommodation,0.0
1997,Food & Beverage Services,0.0
1997,Information & Communications,12.6
1997,Finance & Insurance,3.5
1997,Real Estate,0.0
1997,Professional Services,0.0
1997,Administrative & Support Services,0.0
1997,Other Services Industries,0.2
1996,Manufacturing,2.8
1996,Construction,-4.9
1996,Wholesale Trade,0.0
1996,Retail Trade,0.0
1996,Transportation & Storage,1.6
1996,Accommodation,0.0
1996,Food & Beverage Services,0.0
1996,Information & Communications,5.1
1996,Finance & Insurance,6.8
1996,Real Estate,0.0
1996,Professional Services,0.0
1996,Administrative & Support Services,0.0
1996,Other Services Industries,2.7
1995,Manufacturing,6.3
1995,Construction,-4.4
1995,Wholesale Trade,0.0
1995,Retail Trade,0.0
1995,Transportation & Storage,4.5
1995,Accommodation,0.0
1995,Food & Beverage Services,0.0
1995,Information & Communications,9.0
1995,Finance & Insurance,-11.1
1995,Real Estate,0.0
1995,Professional Services,0.0
1995,Administrative & Support Services,0.0
1995,Other Services Industries,2.8
1994,Manufacturing,11.1
1994,Construction,9.6
1994,Wholesale Trade,0.0
1994,Retail Trade,0.0
1994,Transportation & Storage,6.1
1994,Accommodation,0.0
1994,Food & Beverage Services,0.0
1994,Information & Communications,8.7
1994,Finance & Insurance,-3.8
1994,Real Estate,0.0
1994,Professional Services,0.0
1994,Administrative & Support Services,0.0
1994,Other Services Industries,3.1
1993,Manufacturing,11.9
1993,Construction,-5.5
1993,Wholesale Trade,0.0
1993,Retail Trade,0.0
1993,Transportation & Storage,4.7
1993,Accommodation,0.0
1993,Food & Beverage Services,0.0
1993,Information & Communications,11.1
1993,Finance & Insurance,9.9
1993,Real Estate,0.0
1993,Professional Services,0.0
1993,Administrative & Support Services,0.0
1993,Other Services Industries,3.6
1992,Manufacturing,2.8
1992,Construction,9.9
1992,Wholesale Trade,0.0
1992,Retail Trade,0.0
1992,Transportation & Storage,0.7
1992,Accommodation,0.0
1992,Food & Beverage Services,0.0
1992,Information & Communications,10.2
1992,Finance & Insurance,12.0
1992,Real Estate,0.0
1992,Professional Services,0.0
1992,Administrative & Support Services,0.0
1992,Other Services Industries,0.4
1991,Manufacturing,0.0
1991,Construction,0.0
1991,Wholesale Trade,0.0
1991,Retail Trade,0.0
1991,Transportation & Storage,0.0
1991,Accommodation,0.0
1991,Food & Beverage Services,0.0
1991,Information & Communications,0.0
1991,Finance & Insurance,0.0
1991,Real Estate,0.0
1991,Professional Services,0.0
1991,Administrative & Support Services,0.0
1991,Other Services Industries,0.0
1990,Manufacturing,0.0
1990,Construction,0.0
1990,Wholesale Trade,0.0
1990,Retail Trade,0.0
1990,Transportation & Storage,0.0
1990,Accommodation,0.0
1990,Food & Beverage Services,0.0
1990,Information & Communications,0.0
1990,Finance & Insurance,0.0
1990,Real Estate,0.0
1990,Professional Services,0.0
1990,Administrative & Support Services,0.0
1990,Other Services Industries,0.0
1989,Manufacturing,0.0
1989,Construction,0.0
1989,Wholesale Trade,0.0
1989,Retail Trade,0.0
1989,Transportation & Storage,0.0
1989,Accommodation,0.0
1989,Food & Beverage Services,0.0
1989,Information & Communications,0.0
1989,Finance & Insurance,0.0
1989,Real Estate,0.0
1989,Professional Services,0.0
1989,Administrative & Support Services,0.0
1989,Other Services Industries,0.0
1988,Manufacturing,0.0
1988,Construction,0.0
1988,Wholesale Trade,0.0
1988,Retail Trade,0.0
1988,Transportation & Storage,0.0
1988,Accommodation,0.0
1988,Food & Beverage Services,0.0
1988,Information & Communications,0.0
1988,Finance & Insurance,0.0
1988,Real Estate,0.0
1988,Professional Services,0.0
1988,Administrative & Support Services,0.0
1988,Other Services Industries,0.0
1987,Manufacturing,0.0
1987,Construction,0.0
1987,Wholesale Trade,0.0
1987,Retail Trade,0.0
1987,Transportation & Storage,0.0
1987,Accommodation,0.0
1987,Food & Beverage Services,0.0
1987,Information & Communications,0.0
1987,Finance & Insurance,0.0
1987,Real Estate,0.0
1987,Professional Services,0.0
1987,Administrative & Support Services,0.0
1987,Other Services Industries,0.0
1986,Manufacturing,0.0
1986,Construction,0.0
1986,Wholesale Trade,0.0
1986,Retail Trade,0.0
1986,Transportation & Storage,0.0
1986,Accommodation,0.0
1986,Food & Beverage Services,0.0
1986,Information & Communications,0.0
1986,Finance & Insurance,0.0
1986,Real Estate,0.0
1986,Professional Services,0.0
1986,Administrative & Support Services,0.0
1986,Other Services Industries,0.0
1985,Manufacturing,0.0
1985,Construction,0.0
1985,Wholesale Trade,0.0
1985,Retail Trade,0.0
1985,Transportation & Storage,0.0
1985,Accommodation,0.0
1985,Food & Beverage Services,0.0
1985,Information & Communications,0.0
1985,Finance & Insurance,0.0
1985,Real Estate,0.0
1985,Professional Services,0.0
1985,Administrative & Support Services,0.0
1985,Other Services Industries,0.0
1984,Manufacturing,0.0
1984,Construction,0.0
1984,Wholesale Trade,0.0
1984,Retail Trade,0.0
1984,Transportation & Storage,0.0
1984,Accommodation,0.0
1984,Food & Beverage Services,0.0
1984,Information & Communications,0.0
1984,Finance & Insurance,0.0
1984,Real Estate,0.0
1984,Professional Services,0.0
1984,Administrative & Support Services,0.0
1984,Other Services Industries,0.0
