Year,Age,Occupation,Employed
2021,35-39,Clerical Support Workers,5.1
2021,35-39,Service & Sales Workers,9.3
2021,35-39,Craftsmen & Related Trade Workers,3.2
2021,35-39,Plant & Machine Operators & Assemblers,7.0
2021,35-39,"Cleaners, Labourers & Related Workers",2.4
2021,35-39,Others,2.0
2021,40-44,Managers & Administrators (Including Working Proprietors),38.5
2021,40-44,Professionals,47.8
2021,40-44,Associate Professionals & Technicians,27.4
2021,40-44,Clerical Support Workers,2.5
2021,40-44,Service & Sales Workers,7.7
2021,40-44,Craftsmen & Related Trade Workers,2.7
2021,40-44,Plant & Machine Operators & Assemblers,7.7
2021,40-44,"Cleaners, Labourers & Related Workers",2.4
2021,40-44,Others,2.3
2021,45-49,Managers & Administrators (Including Working Proprietors),40.3
2021,45-49,Professionals,36.7
2021,45-49,Associate Professionals & Technicians,25.1
2021,45-49,Clerical Support Workers,4.2
2021,45-49,Service & Sales Workers,7.5
2021,45-49,Craftsmen & Related Trade Workers,4.6
2021,45-49,Plant & Machine Operators & Assemblers,11.8
2021,45-49,"Cleaners, Labourers & Related Workers",4.1
2021,45-49,Others,0.8
2021,50-54,Managers & Administrators (Including Working Proprietors),31.3
2021,50-54,Professionals,24.5
2021,50-54,Associate Professionals & Technicians,20.3
2021,50-54,Clerical Support Workers,3.7
2021,50-54,Service & Sales Workers,9.1
2021,50-54,Craftsmen & Related Trade Workers,5.4
2021,50-54,Plant & Machine Operators & Assemblers,13.3
2021,50-54,"Cleaners, Labourers & Related Workers",6.1
2021,50-54,Others,0.2
2021,55-59,Managers & Administrators (Including Working Proprietors),25.6
2021,55-59,Professionals,17.5
2021,55-59,Associate Professionals & Technicians,20.7
2021,55-59,Clerical Support Workers,5.1
2021,55-59,Service & Sales Workers,11.8
2021,55-59,Craftsmen & Related Trade Workers,8.3
2021,55-59,Plant & Machine Operators & Assemblers,22.2
2021,55-59,"Cleaners, Labourers & Related Workers",8.3
2021,55-59,Others,0.8
2021,60-64,Managers & Administrators (Including Working Proprietors),19.7
2021,60-64,Professionals,11.7
2021,60-64,Associate Professionals & Technicians,16.8
2021,60-64,Clerical Support Workers,5.4
2021,60-64,Service & Sales Workers,11.8
2021,60-64,Craftsmen & Related Trade Workers,8.3
2021,60-64,Plant & Machine Operators & Assemblers,24.2
2021,60-64,"Cleaners, Labourers & Related Workers",11.7
2021,60-64,Others,0.9
2021,65+,Managers & Administrators (Including Working Proprietors),19.4
2021,65+,Professionals,9.3
2021,65+,Associate Professionals & Technicians,13.8
2021,65+,Clerical Support Workers,6.6
2021,65+,Service & Sales Workers,18.4
2021,65+,Craftsmen & Related Trade Workers,8.5
2021,65+,Plant & Machine Operators & Assemblers,21.2
2021,65+,"Cleaners, Labourers & Related Workers",22.3
2021,65+,Others,1.2
2020,15-19,Managers & Administrators (Including Working Proprietors),0.0
2020,15-19,Professionals,0.0
2020,15-19,Associate Professionals & Technicians,0.6
2020,15-19,Clerical Support Workers,1.2
2020,15-19,Service & Sales Workers,2.4
2020,15-19,Craftsmen & Related Trade Workers,0.1
2020,15-19,Plant & Machine Operators & Assemblers,0.7
2020,15-19,"Cleaners, Labourers & Related Workers",1.0
2020,15-19,Others,12.0
2020,20-24,Managers & Administrators (Including Working Proprietors),0.1
2020,20-24,Professionals,2.0
2020,20-24,Associate Professionals & Technicians,7.1
2020,20-24,Clerical Support Workers,5.5
2020,20-24,Service & Sales Workers,6.6
2020,20-24,Craftsmen & Related Trade Workers,1.8
2020,20-24,Plant & Machine Operators & Assemblers,3.3
2020,20-24,"Cleaners, Labourers & Related Workers",2.3
2020,20-24,Others,31.6
2020,25-29,Managers & Administrators (Including Working Proprietors),5.1
2020,25-29,Professionals,33.2
2020,25-29,Associate Professionals & Technicians,38.5
2020,25-29,Clerical Support Workers,6.9
2020,25-29,Service & Sales Workers,10.9
2020,25-29,Craftsmen & Related Trade Workers,3.3
2020,25-29,Plant & Machine Operators & Assemblers,6.2
2020,25-29,"Cleaners, Labourers & Related Workers",2.0
2020,25-29,Others,4.9
2020,30-34,Managers & Administrators (Including Working Proprietors),18.4
2020,30-34,Professionals,47.3
2020,30-34,Associate Professionals & Technicians,34.0
2020,30-34,Clerical Support Workers,4.5
2020,30-34,Service & Sales Workers,9.7
2020,30-34,Craftsmen & Related Trade Workers,1.8
2020,30-34,Plant & Machine Operators & Assemblers,6.3
2020,30-34,"Cleaners, Labourers & Related Workers",2.3
2020,30-34,Others,2.2
2020,35-39,Managers & Administrators (Including Working Proprietors),33.1
2020,35-39,Professionals,42.0
2020,35-39,Associate Professionals & Technicians,29.7
2020,35-39,Clerical Support Workers,3.2
2020,35-39,Service & Sales Workers,9.5
2020,35-39,Craftsmen & Related Trade Workers,3.1
2020,35-39,Plant & Machine Operators & Assemblers,8.0
2020,35-39,"Cleaners, Labourers & Related Workers",1.7
2020,35-39,Others,2.2
2020,40-44,Managers & Administrators (Including Working Proprietors),39.6
2020,40-44,Professionals,40.7
2020,40-44,Associate Professionals & Technicians,28.2
2020,40-44,Clerical Support Workers,3.6
2020,40-44,Service & Sales Workers,7.7
2020,40-44,Craftsmen & Related Trade Workers,4.0
2020,40-44,Plant & Machine Operators & Assemblers,9.3
2020,40-44,"Cleaners, Labourers & Related Workers",2.5
2020,40-44,Others,1.2
2020,45-49,Managers & Administrators (Including Working Proprietors),45.0
2020,45-49,Professionals,35.3
2020,45-49,Associate Professionals & Technicians,26.7
2020,45-49,Clerical Support Workers,3.8
2020,45-49,Service & Sales Workers,9.2
2020,45-49,Craftsmen & Related Trade Workers,5.8
2020,45-49,Plant & Machine Operators & Assemblers,14.8
2020,45-49,"Cleaners, Labourers & Related Workers",4.0
2020,45-49,Others,1.2
2020,50-54,Managers & Administrators (Including Working Proprietors),33.5
2020,50-54,Professionals,25.3
2020,50-54,Associate Professionals & Technicians,23.0
2020,50-54,Clerical Support Workers,5.0
2020,50-54,Service & Sales Workers,9.8
2020,50-54,Craftsmen & Related Trade Workers,7.4
2020,50-54,Plant & Machine Operators & Assemblers,20.0
2020,50-54,"Cleaners, Labourers & Related Workers",6.6
2020,50-54,Others,0.9
2020,55-59,Managers & Administrators (Including Working Proprietors),26.3
2020,55-59,Professionals,17.8
2020,55-59,Associate Professionals & Technicians,19.8
2020,55-59,Clerical Support Workers,6.5
2020,55-59,Service & Sales Workers,12.5
2020,55-59,Craftsmen & Related Trade Workers,10.0
2020,55-59,Plant & Machine Operators & Assemblers,24.0
2020,55-59,"Cleaners, Labourers & Related Workers",10.3
2020,55-59,Others,1.1
2020,60-64,Managers & Administrators (Including Working Proprietors),14.9
2020,60-64,Professionals,9.7
2020,60-64,Associate Professionals & Technicians,14.5
2020,60-64,Clerical Support Workers,5.8
2020,60-64,Service & Sales Workers,12.1
2020,60-64,Craftsmen & Related Trade Workers,8.4
2020,60-64,Plant & Machine Operators & Assemblers,24.2
2020,60-64,"Cleaners, Labourers & Related Workers",11.1
2020,60-64,Others,0.6
2020,65+,Managers & Administrators (Including Working Proprietors),15.5
2020,65+,Professionals,7.3
2020,65+,Associate Professionals & Technicians,9.6
2020,65+,Clerical Support Workers,5.8
2020,65+,Service & Sales Workers,17.2
2020,65+,Craftsmen & Related Trade Workers,8.0
2020,65+,Plant & Machine Operators & Assemblers,20.4
2020,65+,"Cleaners, Labourers & Related Workers",21.5
2020,65+,Others,1.1
2019,15-19,Managers & Administrators (Including Working Proprietors),0.0
2019,15-19,Professionals,0.1
2019,15-19,Associate Professionals & Technicians,0.4
2019,15-19,Clerical Support Workers,2.0
2019,15-19,Service & Sales Workers,2.9
2019,15-19,Craftsmen & Related Trade Workers,0.1
2019,15-19,Plant & Machine Operators & Assemblers,0.6
2019,15-19,"Cleaners, Labourers & Related Workers",0.7
2019,15-19,Others,13.9
2019,20-24,Managers & Administrators (Including Working Proprietors),0.3
2019,20-24,Professionals,2.8
2019,20-24,Associate Professionals & Technicians,8.6
2019,20-24,Clerical Support Workers,7.6
2019,20-24,Service & Sales Workers,9.5
2019,20-24,Craftsmen & Related Trade Workers,1.4
2019,20-24,Plant & Machine Operators & Assemblers,3.0
2019,20-24,"Cleaners, Labourers & Related Workers",2.0
2019,20-24,Others,33.8
2019,25-29,Managers & Administrators (Including Working Proprietors),4.7
2019,25-29,Professionals,34.3
2019,25-29,Associate Professionals & Technicians,39.1
2019,25-29,Clerical Support Workers,6.9
2019,25-29,Service & Sales Workers,11.2
2019,25-29,Craftsmen & Related Trade Workers,3.5
2019,25-29,Plant & Machine Operators & Assemblers,6.4
2019,25-29,"Cleaners, Labourers & Related Workers",2.9
2019,25-29,Others,4.6
2019,30-34,Managers & Administrators (Including Working Proprietors),16.5
2019,30-34,Professionals,39.4
2019,30-34,Associate Professionals & Technicians,37.9
2019,30-34,Clerical Support Workers,4.9
2019,30-34,Service & Sales Workers,10.1
2019,30-34,Craftsmen & Related Trade Workers,3.3
2019,30-34,Plant & Machine Operators & Assemblers,6.1
2019,30-34,"Cleaners, Labourers & Related Workers",2.2
2019,30-34,Others,2.4
2019,35-39,Managers & Administrators (Including Working Proprietors),32.6
2019,35-39,Professionals,38.8
2019,35-39,Associate Professionals & Technicians,32.1
2019,35-39,Clerical Support Workers,4.4
2019,35-39,Service & Sales Workers,8.4
2019,35-39,Craftsmen & Related Trade Workers,3.4
2019,35-39,Plant & Machine Operators & Assemblers,6.9
2019,35-39,"Cleaners, Labourers & Related Workers",2.7
2019,35-39,Others,2.1
2019,40-44,Managers & Administrators (Including Working Proprietors),40.9
2019,40-44,Professionals,36.8
2019,40-44,Associate Professionals & Technicians,28.2
2019,40-44,Clerical Support Workers,3.2
2019,40-44,Service & Sales Workers,8.7
2019,40-44,Craftsmen & Related Trade Workers,3.8
2019,40-44,Plant & Machine Operators & Assemblers,9.1
2019,40-44,"Cleaners, Labourers & Related Workers",2.0
2019,40-44,Others,1.7
2019,45-49,Managers & Administrators (Including Working Proprietors),44.0
2019,45-49,Professionals,30.5
2019,45-49,Associate Professionals & Technicians,28.8
2019,45-49,Clerical Support Workers,5.0
2019,45-49,Service & Sales Workers,10.9
2019,45-49,Craftsmen & Related Trade Workers,6.1
2019,45-49,Plant & Machine Operators & Assemblers,15.2
2019,45-49,"Cleaners, Labourers & Related Workers",3.6
2019,45-49,Others,1.1
2019,50-54,Managers & Administrators (Including Working Proprietors),35.8
2019,50-54,Professionals,24.1
2019,50-54,Associate Professionals & Technicians,23.4
2019,50-54,Clerical Support Workers,5.0
2019,50-54,Service & Sales Workers,11.2
2019,50-54,Craftsmen & Related Trade Workers,10.2
2019,50-54,Plant & Machine Operators & Assemblers,20.3
2019,50-54,"Cleaners, Labourers & Related Workers",6.7
2019,50-54,Others,0.7
2019,55-59,Managers & Administrators (Including Working Proprietors),25.7
2019,55-59,Professionals,15.3
2019,55-59,Associate Professionals & Technicians,20.5
2019,55-59,Clerical Support Workers,5.6
2019,55-59,Service & Sales Workers,12.9
2019,55-59,Craftsmen & Related Trade Workers,11.2
2019,55-59,Plant & Machine Operators & Assemblers,25.6
2019,55-59,"Cleaners, Labourers & Related Workers",11.0
2019,55-59,Others,1.1
2019,60-64,Managers & Administrators (Including Working Proprietors),17.3
2019,60-64,Professionals,8.3
2019,60-64,Associate Professionals & Technicians,13.5
2019,60-64,Clerical Support Workers,5.5
2019,60-64,Service & Sales Workers,12.5
2019,60-64,Craftsmen & Related Trade Workers,8.8
2019,60-64,Plant & Machine Operators & Assemblers,23.5
2019,60-64,"Cleaners, Labourers & Related Workers",11.4
2019,60-64,Others,0.3
2019,65+,Managers & Administrators (Including Working Proprietors),13.2
2019,65+,Professionals,7.6
2019,65+,Associate Professionals & Technicians,10.7
2019,65+,Clerical Support Workers,6.3
2019,65+,Service & Sales Workers,13.2
2019,65+,Craftsmen & Related Trade Workers,7.1
2019,65+,Plant & Machine Operators & Assemblers,20.1
2019,65+,"Cleaners, Labourers & Related Workers",19.1
2019,65+,Others,0.7
2018,15-19,Managers & Administrators (Including Working Proprietors),0.0
2018,15-19,Professionals,0.0
2018,15-19,Associate Professionals & Technicians,0.7
2018,15-19,Clerical Support Workers,2.2
2018,15-19,Service & Sales Workers,3.6
2018,15-19,Craftsmen & Related Trade Workers,0.3
2018,15-19,Plant & Machine Operators & Assemblers,0.3
2018,15-19,"Cleaners, Labourers & Related Workers",0.9
2018,15-19,Others,15.2
2018,20-24,Managers & Administrators (Including Working Proprietors),0.2
2018,20-24,Professionals,2.4
2018,20-24,Associate Professionals & Technicians,9.0
2018,20-24,Clerical Support Workers,8.9
2018,20-24,Service & Sales Workers,8.3
2018,20-24,Craftsmen & Related Trade Workers,1.4
2018,20-24,Plant & Machine Operators & Assemblers,2.3
2018,20-24,"Cleaners, Labourers & Related Workers",2.7
2018,20-24,Others,35.7
2018,25-29,Managers & Administrators (Including Working Proprietors),4.2
2018,25-29,Professionals,31.1
2018,25-29,Associate Professionals & Technicians,38.3
2018,25-29,Clerical Support Workers,8.2
2018,25-29,Service & Sales Workers,12.6
2018,25-29,Craftsmen & Related Trade Workers,3.7
2018,25-29,Plant & Machine Operators & Assemblers,5.4
2018,25-29,"Cleaners, Labourers & Related Workers",2.3
2018,25-29,Others,4.6
2018,30-34,Managers & Administrators (Including Working Proprietors),16.7
2018,30-34,Professionals,40.7
2018,30-34,Associate Professionals & Technicians,35.3
2018,30-34,Clerical Support Workers,5.2
2018,30-34,Service & Sales Workers,8.4
2018,30-34,Craftsmen & Related Trade Workers,3.3
2018,30-34,Plant & Machine Operators & Assemblers,5.6
2018,30-34,"Cleaners, Labourers & Related Workers",1.6
2018,30-34,Others,2.5
2018,35-39,Managers & Administrators (Including Working Proprietors),30.5
2018,35-39,Professionals,40.9
2018,35-39,Associate Professionals & Technicians,32.8
2018,35-39,Clerical Support Workers,4.0
2018,35-39,Service & Sales Workers,10.5
2018,35-39,Craftsmen & Related Trade Workers,3.8
2018,35-39,Plant & Machine Operators & Assemblers,7.1
2018,35-39,"Cleaners, Labourers & Related Workers",2.4
2018,35-39,Others,2.6
2018,40-44,Managers & Administrators (Including Working Proprietors),40.4
2018,40-44,Professionals,37.9
2018,40-44,Associate Professionals & Technicians,32.7
2018,40-44,Clerical Support Workers,4.7
2018,40-44,Service & Sales Workers,9.3
2018,40-44,Craftsmen & Related Trade Workers,5.0
2018,40-44,Plant & Machine Operators & Assemblers,9.6
2018,40-44,"Cleaners, Labourers & Related Workers",3.0
2018,40-44,Others,1.2
2018,45-49,Managers & Administrators (Including Working Proprietors),40.3
2018,45-49,Professionals,30.3
2018,45-49,Associate Professionals & Technicians,28.1
2018,45-49,Clerical Support Workers,4.7
2018,45-49,Service & Sales Workers,10.0
2018,45-49,Craftsmen & Related Trade Workers,6.8
2018,45-49,Plant & Machine Operators & Assemblers,13.5
2018,45-49,"Cleaners, Labourers & Related Workers",4.5
2018,45-49,Others,1.4
2018,50-54,Managers & Administrators (Including Working Proprietors),33.5
2018,50-54,Professionals,21.7
2018,50-54,Associate Professionals & Technicians,24.9
2018,50-54,Clerical Support Workers,5.8
2018,50-54,Service & Sales Workers,14.3
2018,50-54,Craftsmen & Related Trade Workers,10.3
2018,50-54,Plant & Machine Operators & Assemblers,20.3
2018,50-54,"Cleaners, Labourers & Related Workers",8.3
2018,50-54,Others,1.4
2018,55-59,Managers & Administrators (Including Working Proprietors),25.3
2018,55-59,Professionals,15.7
2018,55-59,Associate Professionals & Technicians,19.4
2018,55-59,Clerical Support Workers,6.4
2018,55-59,Service & Sales Workers,13.5
2018,55-59,Craftsmen & Related Trade Workers,10.8
2018,55-59,Plant & Machine Operators & Assemblers,25.3
2018,55-59,"Cleaners, Labourers & Related Workers",10.8
2018,55-59,Others,0.9
2018,60-64,Managers & Administrators (Including Working Proprietors),16.1
2018,60-64,Professionals,8.6
2018,60-64,Associate Professionals & Technicians,13.8
2018,60-64,Clerical Support Workers,3.8
2018,60-64,Service & Sales Workers,10.9
2018,60-64,Craftsmen & Related Trade Workers,8.6
2018,60-64,Plant & Machine Operators & Assemblers,24.1
2018,60-64,"Cleaners, Labourers & Related Workers",11.4
2018,60-64,Others,0.3
2018,65+,Managers & Administrators (Including Working Proprietors),12.0
2018,65+,Professionals,6.8
2018,65+,Associate Professionals & Technicians,7.4
2018,65+,Clerical Support Workers,6.0
2018,65+,Service & Sales Workers,14.1
2018,65+,Craftsmen & Related Trade Workers,7.0
2018,65+,Plant & Machine Operators & Assemblers,16.9
2018,65+,"Cleaners, Labourers & Related Workers",18.3
2018,65+,Others,0.8
2017,15-19,Managers & Administrators (Including Working Proprietors),0.0
2017,15-19,Professionals,0.1
2017,15-19,Associate Professionals & Technicians,0.5
2017,15-19,Clerical Support Workers,1.6
2017,15-19,Service & Sales Workers,3.1
2017,15-19,Craftsmen & Related Trade Workers,0.2
2017,15-19,Plant & Machine Operators & Assemblers,0.1
2017,15-19,"Cleaners, Labourers & Related Workers",1.2
2017,15-19,Others,15.6
2017,20-24,Managers & Administrators (Including Working Proprietors),0.3
2017,20-24,Professionals,2.5
2017,20-24,Associate Professionals & Technicians,8.1
2017,20-24,Clerical Support Workers,7.9
2017,20-24,Service & Sales Workers,9.3
2017,20-24,Craftsmen & Related Trade Workers,2.0
2017,20-24,Plant & Machine Operators & Assemblers,3.5
2017,20-24,"Cleaners, Labourers & Related Workers",2.7
2017,20-24,Others,37.3
2017,25-29,Managers & Administrators (Including Working Proprietors),4.2
2017,25-29,Professionals,32.8
2017,25-29,Associate Professionals & Technicians,37.6
2017,25-29,Clerical Support Workers,6.9
2017,25-29,Service & Sales Workers,10.8
2017,25-29,Craftsmen & Related Trade Workers,3.3
2017,25-29,Plant & Machine Operators & Assemblers,5.0
2017,25-29,"Cleaners, Labourers & Related Workers",2.9
2017,25-29,Others,4.0
2017,30-34,Managers & Administrators (Including Working Proprietors),18.0
2017,30-34,Professionals,40.3
2017,30-34,Associate Professionals & Technicians,31.5
2017,30-34,Clerical Support Workers,5.1
2017,30-34,Service & Sales Workers,9.7
2017,30-34,Craftsmen & Related Trade Workers,3.2
2017,30-34,Plant & Machine Operators & Assemblers,5.1
2017,30-34,"Cleaners, Labourers & Related Workers",2.1
2017,30-34,Others,2.0
2017,35-39,Managers & Administrators (Including Working Proprietors),30.8
2017,35-39,Professionals,42.7
2017,35-39,Associate Professionals & Technicians,33.5
2017,35-39,Clerical Support Workers,4.4
2017,35-39,Service & Sales Workers,9.2
2017,35-39,Craftsmen & Related Trade Workers,4.4
2017,35-39,Plant & Machine Operators & Assemblers,6.9
2017,35-39,"Cleaners, Labourers & Related Workers",2.2
2017,35-39,Others,2.4
2017,40-44,Managers & Administrators (Including Working Proprietors),43.5
2017,40-44,Professionals,39.8
2017,40-44,Associate Professionals & Technicians,28.1
2017,40-44,Clerical Support Workers,4.1
2017,40-44,Service & Sales Workers,8.7
2017,40-44,Craftsmen & Related Trade Workers,6.7
2017,40-44,Plant & Machine Operators & Assemblers,10.1
2017,40-44,"Cleaners, Labourers & Related Workers",3.5
2017,40-44,Others,1.9
2017,45-49,Managers & Administrators (Including Working Proprietors),43.3
2017,45-49,Professionals,27.7
2017,45-49,Associate Professionals & Technicians,27.4
2017,45-49,Clerical Support Workers,5.3
2017,45-49,Service & Sales Workers,9.4
2017,45-49,Craftsmen & Related Trade Workers,7.8
2017,45-49,Plant & Machine Operators & Assemblers,15.4
2017,45-49,"Cleaners, Labourers & Related Workers",4.9
2017,45-49,Others,0.8
2017,50-54,Managers & Administrators (Including Working Proprietors),33.9
2017,50-54,Professionals,19.6
2017,50-54,Associate Professionals & Technicians,22.5
2017,50-54,Clerical Support Workers,6.2
2017,50-54,Service & Sales Workers,11.7
2017,50-54,Craftsmen & Related Trade Workers,12.5
2017,50-54,Plant & Machine Operators & Assemblers,23.7
2017,50-54,"Cleaners, Labourers & Related Workers",8.3
2017,50-54,Others,0.7
2017,55-59,Managers & Administrators (Including Working Proprietors),27.3
2017,55-59,Professionals,11.2
2017,55-59,Associate Professionals & Technicians,17.4
2017,55-59,Clerical Support Workers,5.9
2017,55-59,Service & Sales Workers,10.7
2017,55-59,Craftsmen & Related Trade Workers,11.4
2017,55-59,Plant & Machine Operators & Assemblers,25.7
2017,55-59,"Cleaners, Labourers & Related Workers",10.1
2017,55-59,Others,0.8
2017,60-64,Managers & Administrators (Including Working Proprietors),16.7
2017,60-64,Professionals,6.9
2017,60-64,Associate Professionals & Technicians,12.2
2017,60-64,Clerical Support Workers,5.5
2017,60-64,Service & Sales Workers,11.7
2017,60-64,Craftsmen & Related Trade Workers,9.4
2017,60-64,Plant & Machine Operators & Assemblers,24.0
2017,60-64,"Cleaners, Labourers & Related Workers",9.4
2017,60-64,Others,0.6
2017,65+,Managers & Administrators (Including Working Proprietors),12.8
2017,65+,Professionals,5.4
2017,65+,Associate Professionals & Technicians,6.0
2017,65+,Clerical Support Workers,5.5
2017,65+,Service & Sales Workers,14.0
2017,65+,Craftsmen & Related Trade Workers,6.2
2017,65+,Plant & Machine Operators & Assemblers,16.5
2017,65+,"Cleaners, Labourers & Related Workers",21.2
2017,65+,Others,0.8
2016,15-19,Managers & Administrators (Including Working Proprietors),0.0
2016,15-19,Professionals,0.2
2016,15-19,Associate Professionals & Technicians,0.8
2016,15-19,Clerical Support Workers,1.0
2016,15-19,Service & Sales Workers,3.0
2016,15-19,Craftsmen & Related Trade Workers,0.2
